heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.25581783300325095,0.27406666455217493,11053.864626858767,5680.653754172359,36936.85,30793.30120942013
Yok,26,0.21857230979441297,0.18236615427037278,7104.302198373766,6400.073744594629,34610.45115384615,33693.59301749209
Doğalgaz Sobası,45,0.18475690290656918,0.16720470190660608,5614.010616057697,3832.3431851176574,29016.16688888889,27925.775262212646
Klima,7,0.13983113433002942,0.10829532172281421,4730.666244317399,3447.145858266751,32086.58714285714,31261.185622310968
Kombi (Elektrik),12,0.13958958969202162,0.15100242295069566,6199.956404327204,5280.010338927521,39483.42083333334,38355.63556870846
,18,0.13136946728284365,0.1161473597740976,5609.3966263835,5135.561138574452,42992.14388888889,41420.86234978286
Kombi (Doğalgaz),3871,0.1289880504013692,0.10225576471377386,4577.022985614261,3524.2654108231363,36411.337104107464,36220.36741794756
Kat Kaloriferi,26,0.12360893903006474,0.10906667502165374,4281.485807642935,3927.299313452613,35067.71076923077,35104.46881331803
Merkezi,209,0.12141066445287113,0.0966537028966809,4408.034490234235,3873.5751028820414,37981.59133971292,37114.291276482065
VRV,2,0.11799912689613191,0.11799912689613191,9094.923145219447,9094.923145219447,71051.59,64945.56988614466
Merkezi (Pay Ölçer),331,0.1056917983309544,0.07526571810265156,4915.549141079831,3243.4591425417457,45494.26628398792,44731.62189514117
Yerden Isıtma,2115,0.09673816900695566,0.0750194582773192,4006.5271106841724,2957.5136566241417,40547.94645390071,39950.72212836993
