m2_group,n,mape,mae
200+,23,0.22209721651228087,8280.04957887221
126-150,65,0.1686803241962456,5679.371148954794
76-100,83,0.15186055656577238,5950.849545752453
101-125,89,0.15062422598217753,5520.940137579532
0-75,23,0.1498409096544618,7855.261856860815
151-200,45,0.14521293515628328,6626.943159851922
