building_age_group,n,mape,mae
21-25 arası,14,0.24023048606009909,8782.232860149727
16-20 arası,14,0.20371650857961346,7510.059190881678
4,5,0.1942700296461426,6677.6852960767665
3,3,0.19354140024341135,11552.208799925487
31 ve üzeri,73,0.19257391272175048,5603.01231698368
2,3,0.17377235120763934,10615.613504268293
6-10 arası,47,0.16943726836184417,6875.840744466935
5,5,0.1589072802977579,8796.147071709318
26-30 arası,37,0.15858209333630463,5685.006327231486
11-15 arası,49,0.14202549843485,5741.099562532264
1,9,0.1305912116994506,6982.507343692854
0 (Oturuma Hazır),52,0.10427017898486814,5578.510607264057
0 (Yapım Aşamasında),17,0.09027484141261718,4413.797205939476
