decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32888.95529445468,5101.796085415134
1,174,31543.124942528735,34850.10023050964,3306.975287980903
2,176,33617.061534090906,36098.20131407869,2481.1397799877795
3,174,35227.52902298851,36576.195777988745,1348.6667550002423
4,176,36766.70914772727,37514.154566966004,747.4454192387311
5,175,38721.52542857143,38635.778779756256,-85.746648815173
6,175,41049.114285714284,39947.65642734675,-1101.457858367535
7,175,43378.922857142854,41289.96852379745,-2088.9543333454126
8,175,46825.67697142858,43255.359315145215,-3570.3176562833605
9,176,55005.39056818183,45667.211627881035,-9338.178940300788
