district,n,mape,mae
Avcıköy Mh.,1,0.3078259712023599,15733.327074980647
Yalakdere Mh.,1,0.3073878514619139,17185.775052290774
Dereköy Mh.,12,0.2282455510997802,6361.765443073222
Tepeköy Mh.,5,0.2198276121238532,8844.797659894908
4 Temmuz Mah.,166,0.15974114669120207,5564.759147281001
Kayacık Mh.,113,0.15700247265486003,6931.170047719912
Ereğli Mh.,30,0.11172513689256908,5443.713495155621
