district,building_age_group,m2_group,n,mape,mae
Kayacık Mh.,11-15 arası,126-150,2,0.10211966107837651,4038.5883013091443
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.09851786873540855,4487.217441100303
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.09708201172923758,4386.831096061
Kayacık Mh.,5,76-100,1,0.0962066582525878,4187.819071806778
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.09509375152394899,3949.5843832588653
4 Temmuz Mah.,11-15 arası,151-200,6,0.09456117356170253,3743.814112548111
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.08975228080423953,4535.381570464876
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08716863455956095,4502.166055618645
Kayacık Mh.,6-10 arası,151-200,4,0.08627287331410155,5716.121534152871
Tepeköy Mh.,21-25 arası,0-75,1,0.0857135487427253,3714.2534931396003
Kayacık Mh.,11-15 arası,76-100,4,0.08498333577891606,3315.8276441112157
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.08186949596540923,3997.703531234309
4 Temmuz Mah.,2,76-100,1,0.08038568991649665,3126.1102527367475
Kayacık Mh.,26-30 arası,126-150,3,0.07646098189231115,3174.1111425514514
Ereğli Mh.,26-30 arası,76-100,2,0.0729627315280327,3357.948090554921
Kayacık Mh.,16-20 arası,200+,1,0.07115405327803077,2564.5109074092034
Ereğli Mh.,11-15 arası,151-200,1,0.05678296205062858,2472.806576735973
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.05437995223858786,2910.5059630051364
4 Temmuz Mah.,26-30 arası,151-200,2,0.05374304787510224,1587.2919236655507
Kayacık Mh.,1,0-75,3,0.05301100707213891,2606.6040027273434
4 Temmuz Mah.,16-20 arası,151-200,1,0.052853937535859714,2254.0650453280614
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.04610893724192623,2305.4463863054807
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.041618065549076606,1545.8019637776572
Kayacık Mh.,4,76-100,1,0.04022316114451398,1839.4739407441812
Ereğli Mh.,16-20 arası,126-150,1,0.03729966785141366,1334.1803983008213
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.032310501765223244,1716.495406277485
Dereköy Mh.,6-10 arası,126-150,2,0.030008932857016977,990.1337578010898
Dereköy Mh.,6-10 arası,151-200,1,0.026902016713445925,862.0716283202019
Ereğli Mh.,11-15 arası,101-125,1,0.025360574988848417,1105.721069513791
Kayacık Mh.,6-10 arası,126-150,1,0.013492638614123016,584.6809616365354
Ereğli Mh.,1,126-150,1,0.01246400771721206,490.25092866364866
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.009699002966762378,436.455133504307
Kayacık Mh.,21-25 arası,101-125,1,0.0076225857867308275,285.846967002406
4 Temmuz Mah.,4,101-125,1,0.0052875025987914395,218.10948220014689
