m2_group,n,mape,mae
151-200,11,0.23366740940808617,9648.074796858584
126-150,42,0.1767979190274999,5307.585992975328
0-75,15,0.17217940503031576,9644.320331831257
76-100,69,0.1564542042474025,6220.5147892460045
101-125,67,0.15617649582735696,5682.8397901365015
200+,1,0.1556802562072752,5610.976419738065
