district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Ulaşlı Yalı Mh.,2,9.0,9.0,0,0,0.8691836409950651,26563.585
Halıdere Yeni Mh.,1,8.0,8.0,0,0,1.669692659806841,44230.77
Sepetlipınar Mh.,1,8.0,8.0,0,0,0.6587630519544447,25000.0
Tavşantepe Mh.,11,7.2727272727272725,5.0,0,0,0.7465205398295156,27459.386363636364
Akçakoca Mh.,18,7.0,5.0,0,0,1.004730502978597,29152.645555555555
İhsaniye Merkez Mh.,13,6.846153846153846,5.0,0,0,1.0075807136487975,38033.23846153846
Cedit Mah.,30,6.7,5.0,0,0,0.9867972969335891,29161.720666666668
Hacıhasan Mh.,14,6.571428571428571,5.0,0,0,0.9967571641183777,25027.505
Merkez Mah.,27,5.703703703703703,5.0,0,0,0.9803244980406224,24307.637037037035
Atatürk Mh.,20,5.6,5.0,0,0,0.938120329085617,34571.693
Yenidoğan Mh.,15,5.6,0.0,0,0,0.9734912252023185,32129.475333333332
Kullar Merkez Mh.,7,5.285714285714286,5.0,0,0,0.9482888109005689,39062.51714285714
Sanayi Mah.,4,5.25,6.5,0,0,0.9128036864804576,38680.715
Şirintepe Mh.,35,5.142857142857143,5.0,1,0,0.9950918821890323,35286.94685714285
Arızlı Mh.,1,5.0,5.0,0,0,0.7654995739556655,30000.0
Avcıköy Mh.,1,5.0,5.0,0,0,1.1871556335109719,51111.11
Saraylı Mh.,1,5.0,5.0,0,0,0.9579481664559156,31666.67
Örcün Mh.,1,5.0,5.0,0,0,1.0175538892400346,37500.0
Zabıtan Mh.,10,4.9,2.5,0,0,0.7609939769010943,26019.381
Kavaklı Mh.,22,4.681818181818182,5.0,0,0,1.0136005649123425,24898.92363636364
Donanma Mah.,26,4.576923076923077,0.0,0,0,1.011026264014659,26817.28923076923
Cumhuriyet Mah.,67,4.552238805970149,0.0,0,0,1.0304904266373451,38539.06641791045
Kayacık Mh.,70,4.357142857142857,0.0,0,0,1.0112004902885232,42767.120285714285
Çiftlik Mh.,30,4.333333333333333,0.0,0,0,1.161836948278094,37522.452333333335
Kozluk Mah.,52,4.076923076923077,0.0,0,0,0.9776766356003278,29356.425769230766
Turgut Mah.,29,4.0344827586206895,0.0,0,0,0.9981689892479656,37093.956896551725
Yeni Mah.,65,3.876923076923077,0.0,0,0,1.0247177964354446,32068.608
4 Temmuz Mah.,103,3.8058252427184467,0.0,0,0,0.9710823322676981,33698.765436893205
Ulaşlı Yavuz Sultan Selim Mh.,4,3.75,0.0,0,0,0.9300463195703164,26605.6575
Şehitler Mh.,26,3.730769230769231,0.0,0,0,1.0113138460107625,28461.345384615382
Gültepe Mh.,7,3.7142857142857144,5.0,0,0,0.8239127001927555,31332.931428571428
Halıdere Yalı Mh.,12,3.6666666666666665,2.5,0,0,1.0065460606487961,26092.629166666666
Bahçecik Kılıçaslan Mh.,11,3.6363636363636362,5.0,0,0,1.103728503990714,42323.780909090914
Karabaş Mh.,34,3.6176470588235294,0.0,0,0,0.9858548467774217,27665.75911764706
Yazlık Merkez Mh.,18,3.611111111111111,5.0,0,0,1.0243269395013206,36552.04611111111
Karşıyaka Mh.,5,3.6,0.0,0,0,1.2631620489238984,57541.038
M. Alipaşa Mh.,17,3.588235294117647,5.0,0,0,0.9975079591511918,37078.49294117647
