county,rows,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,model
Gölcük,571,0.621964547949696,0.6375496144054927,0.14225887765820014,0.1173625251728943,4352.582958072408,3392.9696393963677,ridge
Gölcük,571,0.5822639464140572,0.5916458488934799,0.15162247180870503,0.12419833479062578,4602.942850782384,3698.698238200559,gradient_boosting
Gölcük,571,0.5514630677415215,0.5686750712368527,0.1540406190526054,0.12331592887808637,4669.948014418332,3635.0684284049203,extra_trees
Gölcük,571,0.5345989173006565,0.545436679656446,0.15990264208043728,0.12188097552626537,4847.518103673588,3630.7020287755695,random_forest
