heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
VRV,3,0.22967892208177276,0.26311053237107124,19526.337502777205,22291.30840785902,78913.62000000001,62829.15982402799
Yok,18,0.2294537986705648,0.19490057932563087,8409.456777361884,6777.475919250675,36298.64,33888.83856850231
Soba,3,0.19720378390174872,0.23091022906822925,7335.410682046439,4786.138663659036,32377.5,28232.848427059584
Klima,5,0.1928945003995387,0.23621420018114578,7198.119029166626,8908.237592978177,34030.812,31134.876239119774
Doğalgaz Sobası,27,0.19129669761137633,0.15499131468992813,5395.6596957517095,4299.31834924336,27580.844074074077,27356.89893095516
Kat Kaloriferi,15,0.13847951635343927,0.1246265546416782,5080.759119106505,5452.540758647832,36340.72,36101.62311377554
Kombi (Doğalgaz),1910,0.13728299053631973,0.1111084815171667,4842.255167760611,3751.935867201799,36166.57057068063,35917.73577791446
Merkezi,115,0.12604168498890647,0.1108857720758393,4563.017697893441,3636.124956456675,37108.953652173914,36759.15946958172
Yerden Isıtma,735,0.10963115237644788,0.09099147320057949,4823.6964113411195,3820.283126329836,43418.240666666665,42617.29560796848
Kombi (Elektrik),6,0.10719764610771854,0.07716154893455171,3737.561583205059,1757.862063407587,32079.278333333335,35747.410099170556
Merkezi (Pay Ölçer),183,0.0906935636950378,0.0610545814009373,4261.39198573462,2665.330017452048,45245.85398907104,44703.834168591115
,3,0.07159522250624702,0.10017220942689703,3166.7652886070696,4060.239469648448,44908.426666666666,42029.291994611536
