experiment,global_r2,global_mape,basiskele_r2,basiskele_mape,basiskele_variance_ratio,basiskele_large_home_r2,basiskele_non_large_r2,karamursel_r2,karamursel_mape,golcuk_r2,izmit_r2,ship_ready_all_counties_r2_ge_0_65,selected_layers
control_v15_like,0.6802697028326123,0.12846728050677086,0.4401912183403204,0.11105643743403582,0.4432031799204622,,,0.5929954711941858,0.16582141828199826,0.6422171306421325,0.7160787405813882,False,lh=none|spread=none|kar=none
bsk_large_home,0.6787561312157466,0.12886787314019,0.43987261926818677,0.11113404613300265,0.44964026829021775,,,0.590954436868754,0.16644964215243357,0.6366422492403812,0.7150018014575378,False,lh=simple|spread=none|kar=none
bsk_spread,0.6787561312157466,0.12886787314019,0.43987261926818666,0.11113404613300264,0.44964026829021775,,,0.5909544368687542,0.16644964215243357,0.6366422492403812,0.7150018014575378,False,lh=simple|spread=conservative|kar=none
karamursel_baseline,0.6750367055697708,0.12938127321799844,0.4345499383260304,0.11164800415343176,0.4383981271440617,,,0.5586052069604335,0.1739610307162293,0.6387279418260148,0.7143843186631231,False,lh=none|spread=none|kar=location_age
combined,0.6740116157680531,0.12984934857127706,0.43943244217595745,0.11201417632888146,0.4430594754406811,,,0.5500546442289437,0.1761411143831182,0.6370708762681772,0.7128676075528311,False,lh=simple|spread=conservative|kar=location_age
