county,rows,min_rows_used,override_used,status,blend_weight,current_r2,current_log_r2,current_mape,current_mae_tl_per_m2,expert_r2,expert_log_r2,expert_mape,expert_mae_tl_per_m2,best_blended_r2,best_blended_log_r2,best_blended_mape,best_blended_mae_tl_per_m2,mape,blend_candidates,weights
Başiskele,918,180,False,used_blend,0.2,0.43436240964189765,0.4437591779249589,0.11132085088146085,4582.5262562017115,0.38619096377946815,0.39456757258886554,0.11762341957659221,4840.110612379184,0.4401912183403204,0.4502200698183436,0.11105643743403582,4572.212984174651,0.11105643743403582,"[{""blend_weight"": 0.1, ""r2"": 0.4382432576080407, ""log_r2"": 0.4480053398892958, ""mape"": 0.11107710770818728, ""mae_tl_per_m2"": 4572.853143025594}, {""blend_weight"": 0.2, ""r2"": 0.4401912183403204, ""log_r2"": 0.4502200698183436, ""mape"": 0.11105643743403582, ""mae_tl_per_m2"": 4572.212984174651}, {""blend_weight"": 0.35, ""r2"": 0.4394889958752455, ""log_r2"": 0.44974422267223235, ""mape"": 0.1113998846224, ""mae_tl_per_m2"": 4586.119202311556}, {""blend_weight"": 0.5, ""r2"": 0.43443777713397747, ""log_r2"": 0.44470950362396855, ""mape"": 0.11218286913935568, ""mae_tl_per_m2"": 4618.321974319606}, {""blend_weight"": 0.65, ""r2"": 0.42503756211651667, ""log_r2"": 0.43509459467841194, ""mape"": 0.11341065058970147, ""mae_tl_per_m2"": 4668.9372754043725}, {""blend_weight"": 0.8, ""r2"": 0.41128835082286264, ""log_r2"": 0.42085678386898273, ""mape"": 0.11504100401721226, ""mae_tl_per_m2"": 4735.4800999362915}, {""blend_weight"": 1.0, ""r2"": 0.38619096377946815, ""log_r2"": 0.39456757258886554, ""mape"": 0.11762341957659221, ""mae_tl_per_m2"": 4840.110612379184}]","{""extra_trees"": 0.500348125549548, ""gradient_boosting"": 0.499651874450452}"
Gölcük,571,180,False,used_blend,0.5,0.6223698374599417,0.6356253280797446,0.14206117363941442,4338.412696403414,0.6265516201667172,0.6369353292282554,0.14269086620352636,4345.397646198553,0.6422171306421325,0.6539163009496292,0.13923836154317834,4245.726253879328,0.13923836154317834,"[{""blend_weight"": 0.1, ""r2"": 0.6291803203889883, ""log_r2"": 0.642138669743352, ""mape"": 0.14095849944106917, ""mae_tl_per_m2"": 4303.713745216329}, {""blend_weight"": 0.2, ""r2"": 0.6345702911717308, ""log_r2"": 0.6472110709993164, ""mape"": 0.14016418735128067, ""mae_tl_per_m2"": 4277.898004525823}, {""blend_weight"": 0.35, ""r2"": 0.6399917870715238, ""log_r2"": 0.6521504050207257, ""mape"": 0.13940579367915046, ""mae_tl_per_m2"": 4252.305044297331}, {""blend_weight"": 0.5, ""r2"": 0.6422171306421325, ""log_r2"": 0.6539163009496292, ""mape"": 0.13923836154317834, ""mae_tl_per_m2"": 4245.726253879328}, {""blend_weight"": 0.65, ""r2"": 0.6412463218835566, ""log_r2"": 0.6525241977582201, ""mape"": 0.13968480677035075, ""mae_tl_per_m2"": 4259.390047585937}, {""blend_weight"": 0.8, ""r2"": 0.6370793607957961, ""log_r2"": 0.647970093437718, ""mape"": 0.14054687556831738, ""mae_tl_per_m2"": 4284.663667217563}, {""blend_weight"": 1.0, ""r2"": 0.6265516201667172, ""log_r2"": 0.6369353292282554, ""mape"": 0.14269086620352636, ""mae_tl_per_m2"": 4345.397646198553}]","{""ridge"": 0.5159309091364428, ""gradient_boosting"": 0.48406909086355726}"
Karamürsel,205,180,True,used_blend,0.5,0.5677590423549297,0.6181688491771373,0.16999866349873816,6430.333570788528,0.5678193469936892,0.6088057568046503,0.17284156691199576,6557.614969352932,0.5929954711941858,0.6407473935937198,0.16582141828199826,6289.21464519383,0.16582141828199826,"[{""blend_weight"": 0.1, ""r2"": 0.5768393323659612, ""log_r2"": 0.6271685234963226, ""mape"": 0.16835449536250954, ""mae_tl_per_m2"": 6373.812577485272}, {""blend_weight"": 0.2, ""r2"": 0.5839031202554024, ""log_r2"": 0.6338823083621165, ""mape"": 0.16708062547649713, ""mae_tl_per_m2"": 6327.225937691813}, {""blend_weight"": 0.35, ""r2"": 0.5907178606115828, ""log_r2"": 0.6397732681121937, ""mape"": 0.16594038818327167, ""mae_tl_per_m2"": 6288.174246116085}, {""blend_weight"": 0.5, ""r2"": 0.5929954711941858, ""log_r2"": 0.6407473935937198, ""mape"": 0.16582141828199826, ""mae_tl_per_m2"": 6289.21464519383}, {""blend_weight"": 0.65, ""r2"": 0.5907359520032108, ""log_r2"": 0.6368621461812433, ""mape"": 0.16647882432831135, ""mae_tl_per_m2"": 6318.178636676114}, {""blend_weight"": 0.8, ""r2"": 0.5839393030386582, ""log_r2"": 0.628119271209175, ""mape"": 0.16782738708242176, ""mae_tl_per_m2"": 6374.357160738065}, {""blend_weight"": 1.0, ""r2"": 0.5678193469936892, ""log_r2"": 0.6088057568046503, ""mape"": 0.17284156691199576, ""mae_tl_per_m2"": 6557.614969352932}]","{""gradient_boosting"": 0.5070221115917551, ""random_forest"": 0.4929778884082448}"
İzmit,1329,180,False,used_blend,0.2,0.7149276035498997,0.725866921022186,0.1305402530869832,5067.576613699484,0.6918249021900172,0.7037933009565698,0.13510495953931861,5234.239017035472,0.7160787405813882,0.7275644054916446,0.1301040513307441,5048.594216955058,0.1301040513307441,"[{""blend_weight"": 0.1, ""r2"": 0.7158639018971105, ""log_r2"": 0.7270969482697558, ""mape"": 0.13025436121793968, ""mae_tl_per_m2"": 5055.431290260853}, {""blend_weight"": 0.2, ""r2"": 0.7160787405813882, ""log_r2"": 0.7275644054916446, ""mape"": 0.1301040513307441, ""mae_tl_per_m2"": 5048.594216955058}, {""blend_weight"": 0.35, ""r2"": 0.7150482617398051, ""log_r2"": 0.7268402236910797, ""mape"": 0.1301890737113302, ""mae_tl_per_m2"": 5051.1348710426355}, {""blend_weight"": 0.5, ""r2"": 0.7123944986566224, ""log_r2"": 0.7244059576161649, ""mape"": 0.13066761241861258, ""mae_tl_per_m2"": 5069.628665148539}, {""blend_weight"": 0.65, ""r2"": 0.7081174513318402, ""log_r2"": 0.7202548394374488, ""mape"": 0.13153466369583325, ""mae_tl_per_m2"": 5103.324148224793}, {""blend_weight"": 0.8, ""r2"": 0.7022171197654586, ""log_r2"": 0.7143720740980826, ""mape"": 0.132831112388144, ""mae_tl_per_m2"": 5151.117525470881}, {""blend_weight"": 1.0, ""r2"": 0.6918249021900172, ""log_r2"": 0.7037933009565698, ""mape"": 0.13510495953931861, ""mae_tl_per_m2"": 5234.239017035472}]","{""ridge"": 0.5004879917483969, ""extra_trees"": 0.4995120082516031}"
