county,feature,rows,non_null,coverage,mean
Başiskele,attr_has_elevator,918,918,1.0,0.5196078431372549
Başiskele,attr_has_parking,918,915,0.9967320261437909,0.980327868852459
Başiskele,attr_has_balcony,918,918,1.0,0.9825708061002179
Başiskele,attr_is_site_inside,918,914,0.9956427015250545,0.42560175054704596
Başiskele,attr_credit_eligible,918,0,0.0,
Başiskele,attr_building_age_score,918,918,1.0,0.8782135076252724
Başiskele,attr_heating_quality_score,918,918,1.0,0.9208387799564269
Başiskele,attr_total_quality_score,918,918,1.0,0.8166912835409568
Gölcük,attr_has_elevator,571,571,1.0,0.18388791593695272
Gölcük,attr_has_parking,571,571,1.0,0.851138353765324
Gölcük,attr_has_balcony,571,571,1.0,0.978984238178634
Gölcük,attr_is_site_inside,571,571,1.0,0.2714535901926445
Gölcük,attr_credit_eligible,571,0,0.0,
Gölcük,attr_building_age_score,571,571,1.0,0.49842381786339757
Gölcük,attr_heating_quality_score,571,571,1.0,0.8585288966725042
Gölcük,attr_total_quality_score,571,571,1.0,0.6660652850749172
Karamürsel,attr_has_elevator,205,197,0.9609756097560975,0.5076142131979695
Karamürsel,attr_has_parking,205,202,0.9853658536585366,0.7425742574257426
Karamürsel,attr_has_balcony,205,200,0.975609756097561,0.97
Karamürsel,attr_is_site_inside,205,205,1.0,0.22926829268292684
Karamürsel,attr_credit_eligible,205,0,0.0,
Karamürsel,attr_building_age_score,205,205,1.0,0.48999999999999994
Karamürsel,attr_heating_quality_score,205,205,1.0,0.8485365853658533
Karamürsel,attr_total_quality_score,205,205,1.0,0.6811056910569105
İzmit,attr_has_elevator,1329,1310,0.9857035364936042,0.5091603053435114
İzmit,attr_has_parking,1329,1329,1.0,0.8389766741911211
İzmit,attr_has_balcony,1329,1328,0.999247554552295,0.9292168674698795
İzmit,attr_is_site_inside,1329,1329,1.0,0.42437923250564336
İzmit,attr_credit_eligible,1329,0,0.0,
İzmit,attr_building_age_score,1329,1329,1.0,0.6100827689992475
İzmit,attr_heating_quality_score,1329,1329,1.0,0.8713769751693002
İzmit,attr_total_quality_score,1329,1329,1.0,0.72573847697324
