feature,non_null,coverage,mean_or_share
text_sea_view,0,0.0,
text_has_pool,0,0.0,
text_luxury_signal,0,0.0,
text_project_signal,0,0.0,
text_villa_like,0,0.0,
text_duplex,0,0.0,
text_garden_duplex,0,0.0,
text_roof_duplex,0,0.0,
text_private_garden,0,0.0,
text_terrace,0,0.0,
text_low_rise,0,0.0,
text_high_floor,0,0.0,
text_new_project,0,0.0,
text_premium_finish,0,0.0,
has_site_project_name,919,1.0,0.20021762785636563
site_project_listing_count,919,1.0,1.7072905331882482
site_project_freq_bucket,919,1.0,0.6245919477693145
site_project_known_premium_flag,919,1.0,0.06746463547334058
premium_signal_score,0,0.0,
site_project_name_normalized,919,1.0,0.338411316648531
premium_signal_level,0,0.0,
