decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33949.28121808237,4959.262196343233
1,94,32779.16914893617,36561.348236161175,3782.1790872250076
2,90,35039.15233333334,37309.950045902755,2270.7977125694224
3,92,36802.27858695651,39083.08741785983,2280.8088309033146
4,93,38664.66096774193,39473.7883201636,809.1273524216658
5,90,40912.58688888889,40601.37293707052,-311.21395181836425
6,92,43037.149456521736,41926.21753410853,-1110.9319224132105
7,92,45705.152934782614,43285.571599340066,-2419.5813354425372
8,92,49382.030000000006,45315.67840557549,-4066.3515944245028
9,92,57958.77086956522,47820.05304063955,-10138.71782892566
