experiment,premium_feature_mode,site_project_encoding,rows,r2,log_r2,mape,mae,median_ape,variance_ratio,large_home_r2,large_home_mape,expensive_decile_bias,cheap_decile_bias,selected,notes
control_v18_geo,none,none,919,0.47626473128376867,0.48542343992006043,0.1091394056296129,4504.507943892303,0.08906366948507027,0.4290376012552224,0.279632383153989,0.12547508561869256,-10810.969507430947,5058.147751315122,False,
text_flags_only,flags,none,919,0.4790757979617708,0.48704911871168977,0.10888180907289265,4489.312268470258,0.08823158809653708,0.4276332015057553,0.2697288929889827,0.1261671484047595,-10737.628582660347,5099.23619799305,False,
site_frequency_only,site,frequency,919,0.497946609826585,0.5052092250460245,0.10670658068557516,4393.900050099303,0.08746593435134327,0.45718523149736695,0.28223805488493137,0.12510863041704504,-10234.269508855648,4974.0715516231285,False,
flags_plus_site_frequency,full,frequency,919,0.4911092847374461,0.4975109092938341,0.10757159863861498,4430.4688407847625,0.08790260902569641,0.43715406119047506,0.27309766771097466,0.1260812732876115,-10499.755680824708,5100.300899211944,False,
interactions_only,interactions,frequency,919,0.491109284737446,0.497510909293834,0.10757159863861498,4430.468840784763,0.08790260902569641,0.43715406119047506,0.27309766771097466,0.1260812732876115,-10499.75568082471,5100.300899211945,False,
site_foldsafe_target,site,foldsafe_target,919,0.5016903390935203,0.5089549266579809,0.10598772218857219,4366.038912933185,0.08716223411611564,0.4616290592023031,0.2849517569611414,0.12418464569399243,-10138.71782892566,4959.262196343233,True,selected vs control_v18_geo (R2 lift + MAPE + leakage)
full_v20,full,foldsafe_target,919,0.49973996878351934,0.5051641023827314,0.10652140867431809,4386.99280814722,0.08656319229394906,0.44402560939629854,0.2879702959183623,0.12462744832517483,-10309.872510618345,5023.487066878884,False,
