m2_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
200+,43,0.16049983470978324,0.15900478403614507,6414.157592989252,4833.222655877722,38271.07372093023,37704.569170277864
0-75,36,0.132846794955071,0.12385677258038624,7631.162480978533,7061.694873411394,53737.835,49242.35318005494
151-200,157,0.12301568882687501,0.09965079103446707,4743.743805351528,3682.5792680857594,38226.67821656051,38011.72942088247
126-150,210,0.12161744558879824,0.10722188976535116,4803.186223472658,3997.9576254385884,39304.85638095238,39147.13838136068
101-125,242,0.10249372689824074,0.07800242935390268,4065.224960024916,3172.3027491245484,39855.12661157025,39740.76692224202
76-100,231,0.09556078802047194,0.07852160590627856,4272.253859305899,3385.895310138105,43828.92463203463,43031.15923921042
