site_inside,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Belirtilmemiş,1,0.3719517619230799,0.3719517619230799,8900.273771799752,8900.273771799752,23928.57,32828.84377179975
Evet,385,0.12165029035718779,0.09988516673553503,5157.331983107958,4004.4407000900355,42168.258181818186,41522.83481783735
Hayır,530,0.10552854878586791,0.0868152683939912,4279.737284346215,3454.179730038122,40022.29345283019,39616.67579081209
,3,0.092561255507716,0.09440909881675005,3969.5813456825176,4720.454940837502,44908.426666666666,41422.24321293536
