building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,8,0.22104898893369554,0.18960377519230706,5646.7259709811515,5148.256425716834,28095.89875,33702.88672314517
26-30 arası,16,0.13653673529345908,0.12000266613505453,4070.0988440524607,3594.854960775505,32057.213125000002,33813.47975338183
5,43,0.1331802626551942,0.11114316451899361,5985.727219665601,4742.108723287609,43811.04720930233,41993.46283061365
4,17,0.1310028451650871,0.08187662001395862,5459.602771158714,2897.173086078321,40888.98941176471,41002.33534113726
6-10 arası,158,0.12288468693324119,0.10445986863313757,4988.25687359218,4269.799441365831,40460.17386075949,40295.77971484717
16-20 arası,11,0.11919825531412448,0.06247236366917354,4908.020180527368,2044.5499133392332,36433.91818181818,35097.660432812336
3,26,0.11502370299949198,0.10757611528587183,5069.278393096636,4788.667297407257,43607.786538461536,41726.17748472354
0 (Yapım Aşamasında),78,0.11481701722617031,0.09431107702155993,4772.744549067559,3867.6825525660934,41159.575769230774,40978.341021863765
2,30,0.11289438061309438,0.07704538475769229,4843.215167446777,3123.7557841652088,41055.965,40185.32060861007
11-15 arası,78,0.10577335418032775,0.09924165482067518,3951.4179330570564,3411.0201845902557,37469.194871794876,37508.084034738335
0 (Oturuma Hazır),388,0.1056373069292622,0.08663037320380704,4549.026454881946,3579.5742225439426,42164.376211340204,41417.59185338654
1,47,0.09985295820166222,0.08492274942639078,4233.765574978426,3627.2451520089016,42601.52404255319,41319.73080061495
missing,3,0.092561255507716,0.09440909881675005,3969.5813456825176,4720.454940837502,44908.426666666666,41422.24321293536
21-25 arası,16,0.07749018336123908,0.06905017089709888,2407.15748516674,2080.036560382923,31237.335625,32832.45073055306
