county,district,test_name,base_prediction_tl_m2,variant_prediction_tl_m2,difference_tl_m2,difference_pct,expected_direction,passed_direction_check
İzmit,missing,new_vs_old,38445.50104346831,40477.05206139329,2031.551017924976,0.05284236029667054,a > b,True
İzmit,missing,elevator,38069.15356616012,39582.336524678976,1513.1829585188534,0.03974826905171672,a > b,True
İzmit,missing,site_inside,38069.15356616012,39020.3076076069,951.1540414467745,0.024984901221766602,a >= b,True
İzmit,missing,parking,38069.15356616012,38958.782732936445,889.6291667763217,0.023368766663809354,a > b,True
İzmit,missing,heating,37562.80623281322,38399.139188541325,836.3329557281031,0.022264922129207675,a > b,True
İzmit,missing,floor,37492.28399849309,38069.15356616012,576.8695676670322,0.01538635436801391,a > b,True
İzmit,missing,net_gross,36893.595289406425,38046.22202841941,1152.626739012987,0.031241919633241886,a > b,True
İzmit,missing,total_quality,39055.034652028444,43677.789695368,4622.755043339559,0.11836515021756515,a > b,True
Başiskele,Yeşilyurt Mh.,new_vs_old,34070.04845788152,38555.07205239023,4485.023594508704,0.13164124495018648,a > b,True
Başiskele,Yeşilyurt Mh.,elevator,37141.52763865648,37914.244840520536,772.7172018640558,0.020804669355059605,a > b,True
Başiskele,Yeşilyurt Mh.,site_inside,37141.52763865648,37659.73492189156,518.2072832350823,0.013952233959696855,a >= b,True
Başiskele,Yeşilyurt Mh.,parking,37141.52763865648,37475.16173687442,333.634098217939,0.008982778023128388,a > b,True
Başiskele,Yeşilyurt Mh.,heating,34759.97432950359,37332.26425729589,2572.289927792299,0.07400149100826549,a > b,True
Başiskele,Yeşilyurt Mh.,floor,35008.947271015015,37141.52763865648,2132.5803676414653,0.0609152954852514,a > b,True
Başiskele,Yeşilyurt Mh.,net_gross,35942.19958002215,37118.25432164453,1176.054741622378,0.03272072258694117,a > b,True
Başiskele,Yeşilyurt Mh.,total_quality,36156.40713318297,42888.495661029374,6732.088527846405,0.18619351483261595,a > b,True
Gölcük,missing,new_vs_old,38445.50104346831,40477.05206139329,2031.551017924976,0.05284236029667054,a > b,True
Gölcük,missing,elevator,38069.15356616012,39582.336524678976,1513.1829585188534,0.03974826905171672,a > b,True
Gölcük,missing,site_inside,38069.15356616012,39020.3076076069,951.1540414467745,0.024984901221766602,a >= b,True
Gölcük,missing,parking,38069.15356616012,38958.782732936445,889.6291667763217,0.023368766663809354,a > b,True
Gölcük,missing,heating,37562.80623281322,38399.139188541325,836.3329557281031,0.022264922129207675,a > b,True
Gölcük,missing,floor,37492.28399849309,38069.15356616012,576.8695676670322,0.01538635436801391,a > b,True
Gölcük,missing,net_gross,36893.595289406425,38046.22202841941,1152.626739012987,0.031241919633241886,a > b,True
Gölcük,missing,total_quality,39055.034652028444,43677.789695368,4622.755043339559,0.11836515021756515,a > b,True
Karamürsel,missing,new_vs_old,38445.50104346831,40477.05206139329,2031.551017924976,0.05284236029667054,a > b,True
Karamürsel,missing,elevator,38069.15356616012,39582.336524678976,1513.1829585188534,0.03974826905171672,a > b,True
Karamürsel,missing,site_inside,38069.15356616012,39020.3076076069,951.1540414467745,0.024984901221766602,a >= b,True
Karamürsel,missing,parking,38069.15356616012,38958.782732936445,889.6291667763217,0.023368766663809354,a > b,True
Karamürsel,missing,heating,37562.80623281322,38399.139188541325,836.3329557281031,0.022264922129207675,a > b,True
Karamürsel,missing,floor,37492.28399849309,38069.15356616012,576.8695676670322,0.01538635436801391,a > b,True
Karamürsel,missing,net_gross,36893.595289406425,38046.22202841941,1152.626739012987,0.031241919633241886,a > b,True
Karamürsel,missing,total_quality,39055.034652028444,43677.789695368,4622.755043339559,0.11836515021756515,a > b,True
