flag,share_all,share_expensive_underpred,lift,n_all,n_expensive_underpred
text_sea_view,0.23721436343852012,0.30337078651685395,1.2788887743531596,218,27
text_has_pool,0.21871599564744287,0.39325842696629215,1.798032310358321,201,35
text_luxury_signal,0.07834602829162132,0.14606741573033707,1.8643882646691636,72,13
text_project_signal,0.719260065288357,0.7752808988764045,1.0778867565316426,661,69
text_villa_like,0.028291621327529923,0.0449438202247191,1.5885911840968021,26,4
text_duplex,0.06528835690968444,0.0449438202247191,0.6883895131086142,60,4
text_garden_duplex,0.05223068552774755,0.02247191011235955,0.43024344569288386,48,2
text_roof_duplex,0.10228509249183895,0.02247191011235955,0.21969878077934496,94,2
text_private_garden,0.042437431991294884,0.0449438202247191,1.059060789397868,39,4
text_terrace,0.14036996735582155,0.11235955056179775,0.8004529222193189,129,10
text_low_rise,0.015233949945593036,0.033707865168539325,2.212680577849117,14,3
text_high_floor,0.06746463547334058,0.12359550561797752,1.8320043494019573,62,11
text_new_project,0.07616974972796518,0.12359550561797752,1.6226324237560192,70,11
text_premium_finish,0.27856365614798695,0.2808988764044944,1.0083830758426966,256,25
