decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34089.255219732186,5099.23619799305
1,94,32779.16914893617,36683.68040551755,3904.5112565813783
2,90,35039.15233333334,37581.879840779104,2542.7275074457666
3,92,36802.27858695651,39208.78112872498,2406.5025417684546
4,93,38664.66096774193,39496.56285340359,831.901885661663
5,90,40912.58688888889,40515.16102730304,-397.4258615858526
6,92,43037.149456521736,41823.582660057626,-1213.5667964641088
7,92,45705.152934782614,43155.362334185316,-2549.7906005972927
8,92,49382.030000000006,44955.745397241495,-4426.284602758498
9,92,57958.77086956522,47221.14228690488,-10737.628582660347
