floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
,8,0.1965783675522551,0.24151401610073414,8992.925674902395,10107.11098502532,41901.53875,35349.37176376178
Bodrum,2,0.14656772646278557,0.14656772646278557,4192.3548653356265,4192.3548653356265,25013.989999999998,29206.344865335624
Çatı,55,0.14451523069060176,0.12767039718289078,5489.93605525992,4655.615527726812,37575.060545454544,37513.927256983865
Bahçe,127,0.14296749877114912,0.12060832333600292,6159.355626899819,4987.57325602472,41794.17149606299,40168.21543229503
En Üst Kat,572,0.13920125933816357,0.11069025068359481,4877.513154942561,3747.5359907085767,35924.16416083916,35424.90340302671
Ara Kat,1742,0.1256430852963381,0.10133527107030833,4840.301699902359,3784.9254690345697,39352.20126291618,38777.67742783376
Zemin/Giriş,452,0.12175005625815433,0.09805842743473914,4345.868848989496,3501.5600132134223,37121.972809734514,37520.480458455895
