building_age_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
31 ve üzeri,405,0.1571436564691604,0.13314228903310682,4170.804186877006,3376.1591979310833,26618.7592345679,26622.766898720707
26-30 arası,292,0.15286488134709247,0.12543662517697782,4283.261252013173,3482.0943019766582,28180.769143835616,28001.26488163781
3,72,0.13961858797791166,0.1106270067987575,6349.643580688793,4813.392516301767,44041.04027777778,42760.65515541607
16-20 arası,105,0.13913612353878907,0.11566962087391423,5121.857537888671,3875.524384915472,36803.35742857143,36492.39719408214
21-25 arası,151,0.13811899579175166,0.09780057432809583,4491.118887756909,3294.2883526946243,33959.02662251656,33998.469946009005
5,100,0.13489655621630395,0.11385663300770558,5977.251610406438,4360.216372078776,42499.8612,40523.4282796459
4,49,0.12726478180428163,0.10130059004939759,5538.232846557574,3915.2709908747274,43560.945918367346,43311.26686183453
6-10 arası,459,0.1258979901986859,0.10634048904039563,5197.566926398205,4558.220008379736,41174.443485838776,40752.91507873677
2,66,0.12328771515669569,0.0892391309260857,5312.520498508565,4154.307543291328,43686.86166666667,42934.09155410789
11-15 arası,392,0.1187239061047708,0.10306917493644319,4765.817129658971,3834.4869468749894,41219.748341836734,41004.27450622112
1,91,0.11699216660763598,0.0766495296044615,4904.696819032399,3300.0700916528513,43468.49593406593,42979.28882598957
0 (Yapım Aşamasında),180,0.11546752232984528,0.09375339222783813,5440.357765221512,4107.870803103349,45680.97627777778,44614.25959821686
0 (Oturuma Hazır),593,0.10773672127738708,0.08334075704803227,4771.957998174924,3553.3786174480992,43555.756644182125,42863.16658076329
missing,3,0.06332072163145125,0.06810629898865131,2866.965705789131,2626.957343999835,44908.426666666666,42992.29016628293
