segment,rows,status,blend_weight,base_r2,base_log_r2,base_mape,base_mae_tl_per_m2,segment_r2,segment_log_r2,segment_mape,segment_mae_tl_per_m2,best_blended_r2,best_blended_log_r2,best_blended_mape,best_blended_mae_tl_per_m2,blend_candidates,weights
large_home,488,kept_base,0.0,0.5933969136385746,0.5912972788213914,0.15122324754792918,5688.551763166,0.4819435652736829,0.455339812429603,0.1730860790228357,6398.041244358778,0.5903130907181176,0.5862915989661255,0.15225473902198017,5711.641897504038,"[{""blend_weight"": 0.15, ""r2"": 0.5903130907181176, ""log_r2"": 0.5862915989661255, ""mape"": 0.15225473902198017, ""mae_tl_per_m2"": 5711.641897504038}, {""blend_weight"": 0.25, ""r2"": 0.5855838402742292, ""log_r2"": 0.5798976921714069, ""mape"": 0.1535061016044703, ""mae_tl_per_m2"": 5746.457421047515}, {""blend_weight"": 0.35, ""r2"": 0.5787158950328072, ""log_r2"": 0.5710983183723188, ""mape"": 0.15492964338590898, ""mae_tl_per_m2"": 5787.291590970518}, {""blend_weight"": 0.5, ""r2"": 0.5644039244252987, ""log_r2"": 0.5534266169482828, ""mape"": 0.15777695790128274, ""mae_tl_per_m2"": 5874.980960514422}, {""blend_weight"": 0.65, ""r2"": 0.5452798905233397, ""log_r2"": 0.5303907035707873, ""mape"": 0.16164910676748948, ""mae_tl_per_m2"": 6005.751602166052}, {""blend_weight"": 0.8, ""r2"": 0.5213437933269299, ""log_r2"": 0.5019345639612992, ""mape"": 0.16621900715328938, ""mae_tl_per_m2"": 6161.126833898498}, {""blend_weight"": 1.0, ""r2"": 0.4819435652736829, ""log_r2"": 0.455339812429603, ""mape"": 0.1730860790228357, ""mae_tl_per_m2"": 6398.041244358778}]","{""ridge"": 0.5021319710732888, ""extra_trees"": 0.4978680289267113}"
compact_home,493,used_blend,0.35,0.5750725710929747,0.6056455347560065,0.128683413769837,5831.473226708965,0.5816999412117898,0.5940126884859156,0.13383968476952618,5887.354210481896,0.6054978162858107,0.6353545380617732,0.12605413343530136,5668.246554119116,"[{""blend_weight"": 0.15, ""r2"": 0.5918182035142452, ""log_r2"": 0.6233804081886576, ""mape"": 0.12707274082058656, ""mae_tl_per_m2"": 5742.410765525838}, {""blend_weight"": 0.25, ""r2"": 0.5998934237748081, ""log_r2"": 0.6309656320386172, ""mape"": 0.12638605575970013, ""mae_tl_per_m2"": 5698.164838118875}, {""blend_weight"": 0.35, ""r2"": 0.6054978162858107, ""log_r2"": 0.6353545380617732, ""mape"": 0.12605413343530136, ""mae_tl_per_m2"": 5668.246554119116}, {""blend_weight"": 0.5, ""r2"": 0.6092716030218885, ""log_r2"": 0.6362476173480311, ""mape"": 0.1264389748864652, ""mae_tl_per_m2"": 5659.446881272462}, {""blend_weight"": 0.65, ""r2"": 0.6074860273214552, ""log_r2"": 0.6306566946236514, ""mape"": 0.1276393087984234, ""mae_tl_per_m2"": 5684.597970490235}, {""blend_weight"": 0.8, ""r2"": 0.6001410891845108, ""log_r2"": 0.6188934039139511, ""mape"": 0.1297044078971036, ""mae_tl_per_m2"": 5746.000703465492}, {""blend_weight"": 1.0, ""r2"": 0.5816999412117898, ""log_r2"": 0.5940126884859156, ""mape"": 0.13383968476952618, ""mae_tl_per_m2"": 5887.354210481896}]","{""ridge"": 0.5084561553385689, ""extra_trees"": 0.4915438446614311}"
old_building,697,used_blend,0.65,0.46206902793866356,0.40701946844765813,0.1619448503697638,4369.427793870755,0.44059626353666415,0.3841182084492577,0.15883255191046333,4341.259545532744,0.4821929222854502,0.4301090818055908,0.1556631617348193,4232.136831437585,"[{""blend_weight"": 0.15, ""r2"": 0.4779485610982802, ""log_r2"": 0.42396948384953004, ""mape"": 0.15915122709191554, ""mae_tl_per_m2"": 4300.707469994136}, {""blend_weight"": 0.25, ""r2"": 0.4847897306909821, ""log_r2"": 0.43149310766644833, ""mape"": 0.1576856513576598, ""mae_tl_per_m2"": 4265.898480688005}, {""blend_weight"": 0.35, ""r2"": 0.48863475160604997, ""log_r2"": 0.43593855578989793, ""mape"": 0.15663723722341347, ""mae_tl_per_m2"": 4242.127680703279}, {""blend_weight"": 0.5, ""r2"": 0.4887845042080883, ""log_r2"": 0.4366937475453557, ""mape"": 0.15578101569522904, ""mae_tl_per_m2"": 4226.702834679742}, {""blend_weight"": 0.65, ""r2"": 0.4821929222854502, ""log_r2"": 0.4301090818055908, ""mape"": 0.1556631617348193, ""mae_tl_per_m2"": 4232.136831437585}, {""blend_weight"": 0.8, ""r2"": 0.4688600058381357, ""log_r2"": 0.4158417811841475, ""mape"": 0.15637302349201096, ""mae_tl_per_m2"": 4260.049091578586}, {""blend_weight"": 1.0, ""r2"": 0.44059626353666415, ""log_r2"": 0.3841182084492577, ""mape"": 0.15883255191046333, ""mae_tl_per_m2"": 4341.259545532744}]","{""gradient_boosting"": 0.5038361367795394, ""random_forest"": 0.4961638632204606}"
mainstream_home,1391,used_blend,0.5,0.48453383666214933,0.4894403173096131,0.11931781655200129,4837.848838748515,0.49757292534485686,0.4849732204917344,0.11884513377057934,4736.089143982706,0.5166337787207375,0.5153533782299914,0.1163450607150418,4678.116064249243,"[{""blend_weight"": 0.15, ""r2"": 0.499535702800345, ""log_r2"": 0.5035623375744664, ""mape"": 0.11787605594063273, ""mae_tl_per_m2"": 4768.298155332829}, {""blend_weight"": 0.25, ""r2"": 0.506978907120752, ""log_r2"": 0.5098765923278088, ""mape"": 0.11717370933262142, ""mae_tl_per_m2"": 4732.189271949636}, {""blend_weight"": 0.35, ""r2"": 0.5123756796237804, ""log_r2"": 0.513801375325643, ""mape"": 0.11672211371648891, ""mae_tl_per_m2"": 4706.0377234158295}, {""blend_weight"": 0.5, ""r2"": 0.5166337787207375, ""log_r2"": 0.5153533782299914, ""mape"": 0.1163450607150418, ""mae_tl_per_m2"": 4678.116064249243}, {""blend_weight"": 0.65, ""r2"": 0.5162874062285925, ""log_r2"": 0.5118712588977204, ""mape"": 0.11645179178474055, ""mae_tl_per_m2"": 4669.415277458402}, {""blend_weight"": 0.8, ""r2"": 0.5113365621473454, ""log_r2"": 0.5035095507761779, ""mape"": 0.11716307956166472, ""mae_tl_per_m2"": 4685.515968496551}, {""blend_weight"": 1.0, ""r2"": 0.49757292534485686, ""log_r2"": 0.4849732204917344, ""mape"": 0.11884513377057934, ""mae_tl_per_m2"": 4736.089143982706}]","{""ridge"": 0.50074087883062, ""extra_trees"": 0.49925912116938004}"
