county,n_tests,mean_abs_diff_tl_m2,mean_abs_diff_pct,pass_rate
Başiskele,8,3055.94523000144,0.09445158178303317,1.0
Gölcük,8,2811.1388276703547,0.09876011036640348,0.875
Karamürsel,8,3140.425043883017,0.10733063274990291,0.875
İzmit,8,3692.281822601411,0.12560912478275663,1.0
