county,rows,status,blend_weight,current_r2,current_log_r2,current_mape,current_mae_tl_per_m2,expert_r2,expert_log_r2,expert_mape,expert_mae_tl_per_m2,best_blended_r2,best_blended_log_r2,best_blended_mape,best_blended_mae_tl_per_m2,blend_candidates,weights
Başiskele,856,used_blend,0.2,0.4526686953820499,0.4585130604852802,0.11058556227818543,4534.483446690838,0.4048173742742961,0.40924369568336383,0.11551216932059351,4726.301775286728,0.4552531954347955,0.46132237364105344,0.11028306542064238,4521.015066319617,"[{""blend_weight"": 0.1, ""r2"": 0.4547206181755663, ""log_r2"": 0.4607244684067757, ""mape"": 0.11036707455371542, ""mae_tl_per_m2"": 4524.985885435896}, {""blend_weight"": 0.2, ""r2"": 0.4552531954347955, ""log_r2"": 0.46132237364105344, ""mape"": 0.11028306542064238, ""mae_tl_per_m2"": 4521.015066319617}, {""blend_weight"": 0.35, ""r2"": 0.4532032884468512, ""log_r2"": 0.45923110443015847, ""mape"": 0.11056467672884969, ""mae_tl_per_m2"": 4531.215101631828}, {""blend_weight"": 0.5, ""r2"": 0.44773485400676094, ""log_r2"": 0.4535888622705778, ""mape"": 0.1112460758655082, ""mae_tl_per_m2"": 4556.977792374608}, {""blend_weight"": 0.65, ""r2"": 0.43884789211452513, ""log_r2"": 0.44441579100807493, ""mape"": 0.11212777599200949, ""mae_tl_per_m2"": 4591.25006001081}, {""blend_weight"": 0.8, ""r2"": 0.4265424027701432, ""log_r2"": 0.4317119617645253, ""mape"": 0.1133207135868989, ""mae_tl_per_m2"": 4638.656308670005}, {""blend_weight"": 1.0, ""r2"": 0.4048173742742961, ""log_r2"": 0.40924369568336383, ""mape"": 0.11551216932059351, ""mae_tl_per_m2"": 4726.301775286728}]","{""extra_trees"": 0.5001188100253459, ""gradient_boosting"": 0.4998811899746542}"
Gölcük,571,used_blend,0.65,0.6323897006033488,0.6391558975374756,0.143095469473195,4337.390098924484,0.6265627788780785,0.6381138804149649,0.1428034654422183,4360.496547010447,0.6443881644023912,0.6548671248853875,0.14014709922909493,4271.608450243548,"[{""blend_weight"": 0.1, ""r2"": 0.638052004751007, ""log_r2"": 0.6455475386244668, ""mape"": 0.14210196637560044, ""mae_tl_per_m2"": 4310.005159217466}, {""blend_weight"": 0.2, ""r2"": 0.642326531938624, ""log_r2"": 0.6504811418790286, ""mape"": 0.14134295892889936, ""mae_tl_per_m2"": 4290.128294135602}, {""blend_weight"": 0.35, ""r2"": 0.6461362409199725, ""log_r2"": 0.6551720823018441, ""mape"": 0.14065613344700892, ""mae_tl_per_m2"": 4275.490772389755}, {""blend_weight"": 0.5, ""r2"": 0.6468234517412281, ""log_r2"": 0.6566318731248866, ""mape"": 0.14021003767545223, ""mae_tl_per_m2"": 4267.578901277157}, {""blend_weight"": 0.65, ""r2"": 0.6443881644023912, ""log_r2"": 0.6548671248853875, ""mape"": 0.14014709922909493, ""mae_tl_per_m2"": 4271.608450243548}, {""blend_weight"": 0.8, ""r2"": 0.638830378903462, ""log_r2"": 0.649866823509673, ""mape"": 0.14075080744316573, ""mae_tl_per_m2"": 4294.088280518891}, {""blend_weight"": 1.0, ""r2"": 0.6265627788780785, ""log_r2"": 0.6381138804149649, ""mape"": 0.1428034654422183, ""mae_tl_per_m2"": 4360.496547010447}]","{""ridge"": 0.5161163538892006, ""gradient_boosting"": 0.48388364611079937}"
Karamürsel,202,skipped_too_few_rows,,,,,,,,,,,,,,,
İzmit,1329,used_blend,0.2,0.708448781766614,0.7226481412290197,0.13020054226998043,5079.00898641207,0.689820865340768,0.7029645748038765,0.13534734137871254,5250.839727644987,0.7106721565036199,0.7252888187087423,0.12999259235845304,5068.411175108559,"[{""blend_weight"": 0.1, ""r2"": 0.7099322790115029, ""log_r2"": 0.7243914475083675, ""mape"": 0.13003912664499892, ""mae_tl_per_m2"": 5071.758267972571}, {""blend_weight"": 0.2, ""r2"": 0.7106721565036199, ""log_r2"": 0.7252888187087423, ""mape"": 0.12999259235845304, ""mae_tl_per_m2"": 5068.411175108559}, {""blend_weight"": 0.35, ""r2"": 0.7103876857053482, ""log_r2"": 0.7250726897824973, ""mape"": 0.13009447701449234, ""mae_tl_per_m2"": 5069.9892270951905}, {""blend_weight"": 0.5, ""r2"": 0.7084300704633397, ""log_r2"": 0.7230075845319666, ""mape"": 0.13056923784750077, ""mae_tl_per_m2"": 5085.037263511121}, {""blend_weight"": 0.65, ""r2"": 0.7047993107775945, ""log_r2"": 0.7191138571455531, ""mape"": 0.13157752540477627, ""mae_tl_per_m2"": 5119.334869271878}, {""blend_weight"": 0.8, ""r2"": 0.6994954066481124, ""log_r2"": 0.7134028898690173, ""mape"": 0.13301641119629176, ""mae_tl_per_m2"": 5169.44086172555}, {""blend_weight"": 1.0, ""r2"": 0.689820865340768, ""log_r2"": 0.7029645748038765, ""mape"": 0.13534734137871254, ""mae_tl_per_m2"": 5250.839727644987}]","{""extra_trees"": 0.501503036929517, ""ridge"": 0.4984969630704829}"
