detail_effect_mode,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,basiskele_r2,basiskele_mape,basiskele_variance_ratio,karamursel_r2,karamursel_mape,golcuk_r2,izmit_r2,direction_pass_rate,karamursel_sale_diff_pct,pass_guardrail,pass_global_guardrail,pass_karamursel_guardrail,pass_basiskele_lift
none,0.6779538883166008,0.7014550051955838,0.12886253525355967,0.10365744854617014,4852.387766729042,3649.034339267022,0.4342265297065242,0.11266289790328948,0.41484487118653873,0.5636845293690605,0.1716797605338103,0.6465633031110707,0.7135444597439701,0.96875,0.4941346020268205,True,True,True,False
group,0.6787381585852735,0.7019695693800543,0.12897071426017545,0.10381176996174216,4851.449820279165,3779.5434037985906,0.4552531954347955,0.11028306542064238,0.42239337875898514,0.5581901539745515,0.16984613800659296,0.6443881644023912,0.7106721565036199,0.9375,0.3572381909178222,True,True,True,True
full,0.6735152867768684,0.6991673326214685,0.1301076325822099,0.10466251830888668,4900.5041476294355,3754.819861983404,0.4546372978852402,0.1111751654088766,0.41628472106478354,0.5615213069234425,0.17158476144428958,0.6450904144118773,0.7005664209487832,0.9375,0.44116857810366966,True,True,True,True
