site_project_name_normalized,n,mean_actual,mean_pred,mean_residual,known
zeray korupark,5,53095.166000000005,44892.96099267754,-8202.20500732246,1
orka life sitesi,8,55213.1275,49009.59187783502,-6203.535622164983,0
royal life,2,54451.415,48410.41514784777,-6040.999852152225,1
zeray perla,8,55492.5925,49821.455020573005,-5671.137479427001,1
panoramakent,7,52668.114285714284,48571.99965445181,-4096.114631262475,1
parla . yil sitesi,3,49074.073333333334,45196.34269517181,-3877.730638161527,0
evimiz sitesi,7,48757.47714285714,45941.29442757828,-2816.182715278861,0
manar yuvacik,4,40374.9675,37889.95203998131,-2485.015460018689,0
teras marmara,3,43910.77666666667,41435.613853623036,-2475.1628130436343,0
akademik elit park,4,46173.075,44435.66426777759,-1737.41073222241,0
yakamoz konutlari,8,41078.125,40534.16695644247,-543.9580435575326,0
altinkent kalici konutlari ada,4,31598.730000000003,31117.109160892785,-481.62083910721685,0
missing,608,40473.010427631576,40020.57292719015,-452.4375004414291,0
other,127,40526.324960629914,40453.21502145518,-73.1099391747402,1
mamik life,4,50322.3875,50295.453481013836,-26.93401898616321,1
kirazli kent sitesi,8,31865.51125,31844.923249204356,-20.588000795642984,0
alizepark city,5,46178.534,46218.36665268784,39.8326526878358,1
evimiz,9,44518.141111111116,44856.21669017387,338.07557906275986,1
ustgrup mezire,4,47368.8675,47968.28876422383,599.4212642238253,1
royal city akkurt,9,38674.29666666666,39513.13675164432,838.8400849776525,0
zeraykent yuvacik,5,40621.85,41690.16064322701,1068.310643227012,0
yuvacik kalici konutlari ada,4,31752.107500000002,32824.79565402711,1072.688154027107,0
ustpark afraze,5,40139.022,41277.06692378942,1138.0449237894195,0
royal country,7,41900.91428571429,43231.20383437936,1330.2895486650752,0
zeray gunesi,17,42846.72529411764,44322.672483091774,1475.9471889741326,1
bahcekent konutlari,14,35091.55,36579.228500619145,1487.6785006191426,0
mamik reform,6,47485.878333333334,49137.82382713948,1651.9454938061438,0
sembol kent sitesi,5,34497.23,36869.627782553915,2372.3977825539127,0
marmara elit evleri sitesi,3,32854.166666666664,35352.58525912898,2498.4185924623184,0
esila park sitesi,4,41704.61,44494.94706533086,2790.337065330863,0
ritim vadi evleri,4,33227.01,37782.03394589816,4555.023945898165,0
yuvana evleri,5,32896.398,38405.2367779616,5508.838777961604,0
elitium trio sitesi,3,37121.21333333333,43742.1264392276,6620.913105894265,0
