model,mape,mae_tl_per_m2,median_ae_tl_per_m2,r2,log_r2
ensemble_grid_best_r2_v6_rental,0.12990185769361567,4976.181340536932,3935.065294636879,0.6362894488231654,0.6488381156480181
ensemble_hgb_gb_et_v6_rental,0.13014931411914293,4985.134650498542,3968.5152149385813,0.6344571052610906,0.6469956660328835
ensemble_hgb_et_rf_v6_rental,0.13145016036342802,5041.1908344520025,3952.601962558023,0.6275551422547345,0.6423542428040594
ensemble_gb_hgb_v6_rental,0.13152742368172143,5038.913846007316,4006.189698976057,0.6257608330140472,0.6386077545020128
hist_gradient_boosting_v6_rental,0.1330141504863598,5101.7421248557675,4019.779598114692,0.6169814609793375,0.631259935393351
catboost_manual_v6_rental,0.13292802832666023,5140.096812026407,4014.2635081926637,0.6160846948110665,0.6369593928246973
gradient_boosting_tuned_r2_v6_rental,0.13428419410252387,5139.716661637921,4059.713718440311,0.6129469257485753,0.6255059564485765
extra_trees_v6_rental,0.13633741890569984,5243.843401948462,4059.9367389487397,0.6008963756250476,0.6157311188189762
gradient_boosting_v6_rental,0.13785768593444106,5274.795378197853,4280.382136014949,0.5977398618879989,0.6097304811455799
random_forest_v6_rental,0.13931601230543986,5352.917894587274,4376.72360092348,0.5819013990616999,0.6026614093642908
ridge_v6_rental,0.14207945875094294,5426.8782396439465,4339.712572907101,0.5750272937113015,0.5889332268213936
elasticnet_v6_rental,0.15173010062826692,5786.784446023536,4665.831534926076,0.5195739783787994,0.5409474877115723
