site_inside,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Belirtilmemiş,1,0.5069209666129647,0.5069209666129647,12129.893834065988,12129.893834065988,23928.57,36058.46383406599
Evet,385,0.11758621796273096,0.09447964024631539,4963.188202857992,4081.4557030365177,42168.258181818186,41683.989898627515
Hayır,530,0.10281074676845565,0.08191685072424587,4173.528812250331,3229.30569264881,40022.29345283019,39622.036467199556
,3,0.07050495713975652,0.08639817300963565,3053.626469956192,4319.908650481782,44908.426666666666,41915.83525128666
