decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34148.62448226982,5158.6054605307
1,94,32779.16914893617,36758.46848157201,3979.2993326358423
2,90,35039.15233333334,37594.81407502109,2555.6617416877493
3,92,36802.27858695651,39232.725351218076,2430.44676426156
4,93,38664.66096774193,39496.545226184804,831.8842584428659
5,90,40912.58688888889,40490.70804898025,-421.87883990864196
6,92,43037.149456521736,41789.999571281296,-1247.1498852404457
7,92,45705.152934782614,43195.375554026825,-2509.7773807557846
8,92,49382.030000000006,44987.269135356306,-4394.7608646436875
9,92,57958.77086956522,47136.895422868554,-10821.875446696662
