county,n,mape,mae,mean_bias,r2
Başiskele,1753,0.10463881283837974,4084.5923960955256,-340.7255353255587,0.4944325581374862
Gölcük,1182,0.11897934877049494,3847.8464452600574,-520.952631603261,0.6615646554893939
Karamürsel,328,0.15999005277275413,6189.374768975664,-890.215941741298,0.5769045053446381
Kartepe,1007,0.1032253846847793,4072.5008115674264,-277.3733303778047,0.5321743387872075
İzmit,2397,0.13325336221138753,5109.58723506844,-371.5329833276272,0.6617003635259086
