m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
200+,331,5.410876132930514,7.0,0,0,0.9454328189044754,37229.90069486405
0-75,420,2.657142857142857,0.0,0,0,1.102684653473209,47924.90740476191
101-125,1675,2.4185074626865672,0.0,2,0,0.9859657086921554,37181.69686567164
126-150,1642,2.3751522533495737,0.0,1,0,0.9776837080929712,36621.415237515226
76-100,1414,2.268033946251768,0.0,2,0,1.0116472707848738,39621.57963932108
151-200,1185,2.1215189873417724,0.0,0,0,0.9769812220105754,36904.79526582279
