site_project_id,n,mean_actual,mean_pred,mean_residual
basiskele::orka_life,3,56599.920000000006,46205.902042549475,-10394.017957450531
basiskele::zeray_korupark,6,49349.613333333335,40651.044970524126,-8698.568362809205
basiskele::royal_life,3,50745.386666666665,43624.40132592331,-7120.985340743359
basiskele::orka_life_2,8,50780.725,45875.388530602635,-4905.336469397369
basiskele::zeray_perla,16,50309.36125,46437.56900933669,-3871.792240663311
basiskele::alizepark_city,5,46178.534,43234.72931115438,-2943.8046888456256
golcuk::yakamoz_konutlari,1,30800.0,28077.889647069227,-2722.110352930773
basiskele::evimiz_kocaeli,20,47590.9985,45720.18263415705,-1870.815865842953
basiskele::mamik_reform,8,46433.6575,45470.09862536734,-963.5588746326575
kartepe::other,344,41715.395872093024,40868.32348021142,-847.0723918816085
basiskele::yakamoz_konutlari,8,41078.125,40360.97655428083,-717.1484457191727
izmit::other,866,44273.3533256351,43672.35106351508,-601.0022621200281
basiskele::other,322,39721.91068322981,39167.384593505005,-554.526089724804
golcuk::other,247,35305.80255060729,34797.12106615618,-508.681484451107
missing,4632,36668.49837867012,36353.677566053855,-314.82081261626627
kartepe::bahcekent_konutlari,1,31666.67,31383.7601252029,-282.90987479709656
basiskele::kirazli_kent,10,33006.297999999995,32884.31827203304,-121.97972796696376
basiskele::ustgrup_mezire,8,43967.52125,44227.78948538235,260.26823538235294
karamursel::other,54,37942.82074074074,38295.03541881323,352.21467807249326
basiskele::royal_city_akkurt,11,38002.89363636364,38507.02324971597,504.1296133523303
basiskele::royal_country,11,43914.946363636365,44801.75586267749,886.8094990411245
basiskele::ustpark_afraze,10,40609.077000000005,41653.80197996958,1044.7249799695842
basiskele::zeray_gunesi,28,42480.92035714286,43565.26864680995,1084.3482896670903
basiskele::zeraykent_yuvacik,7,39558.05285714286,41042.232234956486,1484.1793778136318
basiskele::bahcekent_konutlari,20,34568.7525,36182.403143708376,1613.6506437083747
basiskele::mamik_life,2,41660.08,43860.30318868304,2200.2231886830486
basiskele::yuvana_evleri,12,31965.5475,34371.563701983614,2406.016201983613
basiskele::ritim_vadi_evleri,4,33227.01,38720.012584179174,5493.002584179178
