district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.916181827014638,17232.940398868373
Tepeköy Mh.,31 ve üzeri,76-100,1,0.516372345452783,14028.117106041755
Kayacık Mh.,31 ve üzeri,126-150,1,0.4632914037901889,10810.13121079973
Ereğli Mh.,16-20 arası,101-125,1,0.45328830660175795,13236.018552771333
4 Temmuz Mah.,4,76-100,1,0.44760963895118067,14481.48779240921
Dereköy Mh.,11-15 arası,200+,1,0.4407177030910638,18384.226074874532
Kayacık Mh.,26-30 arası,200+,2,0.4347821784050304,26329.1486552641
4 Temmuz Mah.,21-25 arası,126-150,1,0.3908167174504946,7961.081136652032
Kayacık Mh.,2,151-200,1,0.3429099930537953,24709.68946566469
Kayacık Mh.,3,126-150,1,0.33316443236909205,24346.63057108155
Kayacık Mh.,16-20 arası,126-150,2,0.32586552916342104,10037.779393754941
4 Temmuz Mah.,4,200+,1,0.320753390144403,11333.28538259094
4 Temmuz Mah.,21-25 arası,101-125,4,0.30527584863637675,7398.761176557181
Kayacık Mh.,11-15 arası,200+,3,0.3008936763873625,10926.426602575362
4 Temmuz Mah.,1,0-75,1,0.29911957339652534,20539.545036959986
Tepeköy Mh.,6-10 arası,151-200,1,0.29364443123925493,18038.157499490757
Dereköy Mh.,16-20 arası,126-150,1,0.28137854925003586,7136.412807215169
Ereğli Mh.,21-25 arası,0-75,2,0.27903349692994667,18218.01806419093
Kayacık Mh.,6-10 arası,200+,1,0.2775433738680682,9607.26935292525
Kayacık Mh.,31 ve üzeri,76-100,4,0.27588638349973565,9416.6084388847
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2742329358770049,17596.614299550936
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.26204522224752425,7729.624662392798
Dereköy Mh.,11-15 arası,151-200,1,0.25679555048570823,6958.329968534625
Dereköy Mh.,11-15 arası,76-100,1,0.2548997475849722,6797.327451931749
Kayacık Mh.,16-20 arası,151-200,3,0.24848460586553237,10497.542179134347
4 Temmuz Mah.,5,101-125,1,0.24753079819105395,13407.919060451415
4 Temmuz Mah.,26-30 arası,76-100,5,0.24427830014991203,7643.666836775932
Yalakdere Mh.,16-20 arası,101-125,1,0.23905158203916535,13365.156414870078
Kayacık Mh.,21-25 arası,76-100,2,0.2385169024149781,9559.573918390726
Ereğli Mh.,31 ve üzeri,101-125,1,0.2379127631166364,10943.987103365274
4 Temmuz Mah.,6-10 arası,151-200,6,0.23373787384721625,10883.610260161418
Kayacık Mh.,11-15 arası,151-200,3,0.21538340625849373,7451.063986297387
Kayacık Mh.,6-10 arası,76-100,2,0.2149585512798242,10150.686316892257
Kayacık Mh.,5,0-75,1,0.21319569670112748,14213.047157394154
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.21266132210023023,10799.02077380462
4 Temmuz Mah.,4,151-200,1,0.21216882173722093,7425.908760802733
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.20927028250092952,7616.631937116817
Kayacık Mh.,26-30 arası,76-100,4,0.20370933661521196,7021.893548642836
Kayacık Mh.,1,151-200,1,0.18992429745888859,8316.211414346406
Kayacık Mh.,31 ve üzeri,101-125,11,0.18442136320168523,5444.208104353799
Kayacık Mh.,26-30 arası,101-125,3,0.18406740842952307,7824.831150808915
4 Temmuz Mah.,6-10 arası,76-100,3,0.17074997173523834,8267.581676377034
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.16719258500604067,8220.30265343895
4 Temmuz Mah.,1,76-100,3,0.15970236590524606,7885.10616069558
4 Temmuz Mah.,6-10 arası,200+,6,0.15940391393678952,5536.743078204169
Kayacık Mh.,26-30 arası,151-200,1,0.15918068714146696,4775.420614244009
Avcıköy Mh.,21-25 arası,76-100,1,0.1580528255992854,8078.255355015892
Kayacık Mh.,6-10 arası,101-125,4,0.15592225759176334,9337.497997837407
4 Temmuz Mah.,6-10 arası,101-125,7,0.15548236176738608,5742.255016128269
4 Temmuz Mah.,31 ve üzeri,101-125,19,0.15074575466087942,3681.025417446545
4 Temmuz Mah.,6-10 arası,126-150,8,0.15007669714518157,4660.324632725653
Kayacık Mh.,16-20 arası,101-125,3,0.14796033522037885,4837.481518027286
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.14346548607581788,6759.856110562843
Dereköy Mh.,11-15 arası,126-150,3,0.14126983724773098,4822.941421939914
Kayacık Mh.,11-15 arası,101-125,5,0.1408700713278947,7479.275182645295
4 Temmuz Mah.,11-15 arası,126-150,3,0.1335559998245287,5668.319956938295
4 Temmuz Mah.,31 ve üzeri,76-100,14,0.13343099585825094,3809.842402322133
Dereköy Mh.,26-30 arası,151-200,1,0.13335666631228746,3930.6877395546726
4 Temmuz Mah.,11-15 arası,76-100,6,0.13062811574183222,6101.256123950731
Kayacık Mh.,5,101-125,1,0.12981258600523987,6802.179506674569
4 Temmuz Mah.,3,76-100,2,0.12911241543934743,5416.31194757644
4 Temmuz Mah.,26-30 arası,126-150,9,0.1284905564841219,2567.059782644459
4 Temmuz Mah.,2,151-200,1,0.12704820162639985,5756.871636196243
Kayacık Mh.,21-25 arası,126-150,2,0.12524470638899693,4235.682225215673
4 Temmuz Mah.,11-15 arası,200+,3,0.12404798362513018,3695.071037565375
4 Temmuz Mah.,11-15 arası,101-125,5,0.12143083593475171,6030.433343758549
Ereğli Mh.,11-15 arası,200+,1,0.12133581059460971,5553.446622341129
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,3,0.11507211864233195,6910.706286173944
Kayacık Mh.,16-20 arası,200+,1,0.11456370033997663,4129.067081632325
4 Temmuz Mah.,31 ve üzeri,151-200,3,0.11445770834772068,2857.982098032547
Kayacık Mh.,0 (Oturuma Hazır),101-125,3,0.11048241925103637,5190.119885893226
Kayacık Mh.,5,76-100,1,0.11006315776938808,4790.98432043838
Kayacık Mh.,0 (Oturuma Hazır),0-75,6,0.11001869199343989,5180.097513502056
Kayacık Mh.,31 ve üzeri,0-75,1,0.10954757960295688,4747.0614176362
Kayacık Mh.,0 (Oturuma Hazır),126-150,7,0.10765117893363103,6838.604341555042
Kayacık Mh.,11-15 arası,126-150,2,0.1067847353232403,4218.494435577057
Kayacık Mh.,11-15 arası,76-100,4,0.10645622836260102,4166.224583169042
4 Temmuz Mah.,5,76-100,1,0.10421617946746904,5210.808973373452
4 Temmuz Mah.,26-30 arası,101-125,5,0.10382837008189709,3507.9285881334094
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.09942888586233725,7203.169708381158
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.09508170465202746,4349.752166929731
4 Temmuz Mah.,11-15 arası,151-200,6,0.09413038584671991,3728.7095111396884
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.09358760167933527,4760.9775733324595
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.08778747361382545,4268.500151033922
Kayacık Mh.,26-30 arası,126-150,3,0.08677424814040058,3596.5683969058105
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.08514475777846398,3899.162780906985
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.08424468152224353,4377.925481915789
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08397806059908679,4319.4278408696655
Kayacık Mh.,6-10 arası,151-200,4,0.08242600928351539,5428.2228864464
Ereğli Mh.,16-20 arası,126-150,1,0.08169205839432944,2922.062025880201
Ereğli Mh.,26-30 arası,76-100,2,0.07522307292221708,3455.4256564655843
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.07484886512284372,4013.1975843528053
Dereköy Mh.,6-10 arası,151-200,1,0.07085736436903817,2270.61502974846
Kayacık Mh.,4,76-100,1,0.06858945525398966,3136.713076733431
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.06791672953451214,3395.8358705715837
Dereköy Mh.,6-10 arası,126-150,2,0.060380168303915044,1994.6494532899633
Ereğli Mh.,11-15 arası,101-125,1,0.06032563641963578,2630.19774789612
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.06028524873824114,2447.41359838855
