building_age_group,n,mape,mae
21-25 arası,14,0.22053258274810927,7918.7610447383995
16-20 arası,14,0.21758672499643575,7740.672679236787
4,5,0.21042145566395148,7300.113273429207
3,3,0.19712975441592895,11726.418155411477
31 ve üzeri,73,0.1930598658631655,5599.006963652162
6-10 arası,47,0.17505665058813077,7053.922097305616
2,3,0.17259427168352545,10775.469167578814
5,5,0.16096368362685567,8884.987803666394
26-30 arası,37,0.16047755805524164,5742.43058747981
11-15 arası,49,0.14766208434465858,5961.309843217809
1,9,0.12673230953626638,6738.764114173921
0 (Oturuma Hazır),52,0.1003735148187994,5423.263971880069
0 (Yapım Aşamasında),17,0.0895771237234068,4409.242364364106
