room_count,n,mape,mae
4.5+1,1,0.916181827014638,17232.940398868373
4.5+2,1,0.3739848942260267,23374.05588912667
6+2,1,0.2775433738680682,9607.26935292525
5+2,1,0.24622276162822662,7454.01000078642
2.5+1,1,0.2193502348737863,7850.428650508329
4+2,6,0.2026962693685883,7377.9324582604895
4+1,27,0.1737769655630099,7722.611247519447
3+1,141,0.16875745175763948,5988.06647486457
3+2,2,0.1658178503492168,7551.65469433587
5+1,8,0.16227383584926514,6816.770657658799
1+1,13,0.1535226154434416,7750.697134116584
2+1,118,0.13972088456116546,5727.120448523016
5.5+1,1,0.11456370033997663,4129.067081632325
3.5+1,3,0.08587263998162868,2698.342135563869
6+1,3,0.06638880070394769,2206.9809820196665
2+2,1,0.056465044741113905,2458.961789753477
