segment,rows,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,model
large_home,216,0.19786333562593983,0.20100923259764436,0.1337948428838786,0.11353851005914636,5153.506273452263,4198.900691471388,extra_trees
large_home,216,0.14905476356632386,0.14581632496069097,0.1391171034300258,0.11526355823500577,5343.327040744113,4083.77174348677,random_forest
large_home,216,0.11175261598181785,0.11169517863743395,0.14054301278095485,0.11521811528763778,5407.465138252376,4062.433963281899,gradient_boosting
large_home,216,0.04807899077589839,0.006911007263697977,0.153443906010333,0.12374162362833052,5808.610579563242,4763.014239856349,ridge
