canonical_id,raw_variants,n_variants,total_count,median_unit_price_by_variant,max_variant_price_gap,warning
pera_park,pera park evleri,1,1,"{""pera park evleri"": 38518.52}",0.0,
yesilkent_kalici,basiskele yesilkent kalici konutlari | yesilkent kalici konutlari,2,2,"{""basiskele yesilkent kalici konutlari"": 29125.0, ""yesilkent kalici konutlari"": 30833.33}",1708.3300000000017,
marmara_elit,marmara elit evleri sitesi,1,3,"{""marmara elit evleri sitesi"": 31250.0}",0.0,
kullar_tepecik_de,basiskele kullar tepecik de site,1,1,"{""basiskele kullar tepecik de site"": 38952.38}",0.0,
evimiz_kocaeli,evimiz kocaeli | evimiz kocaeli sitesi,2,16,"{""evimiz kocaeli"": 43212.25, ""evimiz kocaeli sitesi"": 49278.759999999995}",6066.509999999995,
barbaros_mh,basiskele barbaros mh site,1,1,"{""basiskele barbaros mh site"": 42253.52}",0.0,
barbaros,basiskele barbaros site,1,1,"{""basiskele barbaros site"": 41588.79}",0.0,
ceneviz_adalari,ceneviz adalari projesi,1,2,"{""ceneviz adalari projesi"": 48076.925}",0.0,
kolayli_kullar,kolayli kullar sitesi,1,1,"{""kolayli kullar sitesi"": 48333.33}",0.0,
basiskele_de,basiskele'de site,1,1,"{""basiskele'de site"": 34682.08}",0.0,
elitium_trio,elitium trio sitesi,1,3,"{""elitium trio sitesi"": 37272.73}",0.0,
seyri_vadi,kocaeli basiskele seyri vadi sitesi,1,1,"{""kocaeli basiskele seyri vadi sitesi"": 38148.15}",0.0,
rose_garden,rose garden evleri,1,1,"{""rose garden evleri"": 36363.64}",0.0,
ustgrup_mezire,mezire | ustgrup mezire,2,5,"{""ustgrup mezire"": 46715.995, ""mezire"": 38000.0}",8715.995000000003,possible_bad_merge
kullar_yaylacik_mahallesi,basiskele kullar yaylacik mahallesi site,1,1,"{""basiskele kullar yaylacik mahallesi site"": 54780.82}",0.0,
kardelen,kardelen sitesi,1,1,"{""kardelen sitesi"": 36896.55}",0.0,
bizim_evler,bizim evler sitesi,1,1,"{""bizim evler sitesi"": 38750.0}",0.0,
elitium_park,elitium park evleri,1,2,"{""elitium park evleri"": 43901.1}",0.0,
bahama,bahama proje,1,1,"{""bahama proje"": 38571.43}",0.0,
kullar_da_prestijli_yasam,basiskele kullar'da prestijli yasam projesi,1,1,"{""basiskele kullar'da prestijli yasam projesi"": 29629.63}",0.0,
yagmurkent,yagmurkent sitesi,1,1,"{""yagmurkent sitesi"": 57692.31}",0.0,
altin_vadi,altin vadi evleri sitesi,1,2,"{""altin vadi evleri sitesi"": 30801.08}",0.0,
kullar_tepecik_mah,basiskele kullar tepecik mah. site,1,1,"{""basiskele kullar tepecik mah. site"": 30937.5}",0.0,
