feature,ones,ratio,selected_min_ones
near_market,935,0.6962025316455697,True
near_school,912,0.6790766939687267,True
near_hospital,898,0.6686522710349962,True
near_mosque,873,0.6500372300819062,True
transport_bus_stop,862,0.6418466120625466,True
near_pharmacy,816,0.6075949367088608,True
transport_minibus,812,0.6046165301563663,True
near_park,810,0.6031273268801192,True
transport_main_road,792,0.5897244973938943,True
near_city_center,761,0.5666418466120625,True
in_steel_door,752,0.5599404318689502,True
view_city,732,0.5450483991064781,True
in_laminate_floor,696,0.5182427401340283,True
front_south,666,0.4959046909903202,True
subtype_middle_floor,664,0.49441548771407295,True
out_heat_insulation,651,0.4847356664184661,True
near_mall,635,0.47282204020848845,True
view_park_green,539,0.4013402829486225,True
in_heat_glass,533,0.39687267311988084,True
near_university,515,0.383469843633656,True
front_east,506,0.37676842889054357,True
in_pvc,497,0.37006701414743115,True
transport_e5,481,0.35815338793745344,True
front_west,481,0.35815338793745344,True
transport_tram,443,0.3298585256887565,True
out_sound_insulation,427,0.31794489947877885,True
in_fiber,409,0.304542069992554,True
out_camera,384,0.2859270290394639,True
view_nature,380,0.28294862248696945,True
out_children_playground,367,0.2732688011913626,True
front_north,343,0.25539836187639614,True
in_intercom,342,0.2546537602382725,True
view_sea,261,0.19434102755026061,True
in_builtin_kitchen,255,0.189873417721519,True
out_security,243,0.18093819806403574,True
transport_tem,220,0.16381236038719285,True
out_sports_area,193,0.14370811615785556,True
out_pool,154,0.114668652271035,True
transport_train,139,0.10349962769918093,True
out_open_pool,133,0.09903201787043932,True
subtype_top_floor,129,0.0960536113179449,True
in_parent_bathroom,123,0.09158600148920328,True
subtype_duplex,120,0.08935219657483247,True
out_hydrofor,97,0.07222635889798958,True
in_glass_balcony,96,0.07148175725986597,True
in_terrace,91,0.06775874906924795,True
transport_metro,82,0.06105733432613552,True
in_pantry,71,0.05286671630677588,True
out_generator,67,0.04988830975428146,True
subtype_roof_duplex,65,0.04839910647803425,True
in_air_conditioner,56,0.04169769173492182,True
view_pool,46,0.03425167535368578,True
in_smart_home,43,0.03201787043931496,True
out_sauna_hamam,40,0.029784065524944156,True
transport_airport,39,0.029039463886820552,True
in_dressing_room,35,0.026061057334326135,True
view_lake,33,0.024571854058078928,True
near_sea_zero,30,0.022338049143708117,True
subtype_garden_duplex,30,0.022338049143708117,True
out_closed_pool,27,0.020104244229337303,True
near_lake_zero,14,0.010424422933730455,False
view_bosphorus,9,0.006701414743112435,False
subtype_reverse_duplex,7,0.0052122114668652275,False
subtype_triplex,2,0.0014892032762472078,False
view_river,2,0.0014892032762472078,False
