decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33970.5879026254,4980.5688808862615
1,94,32779.16914893617,36590.82677648592,3811.6576275497478
2,90,35039.15233333334,37293.42552189575,2254.2731885624116
3,92,36802.27858695651,39047.518020687836,2245.239433731315
4,93,38664.66096774193,39457.62115123262,792.9601834906867
5,90,40912.58688888889,40548.771044244604,-363.8158446442829
6,92,43037.149456521736,41905.530990967454,-1131.6184655542936
7,92,45705.152934782614,43272.96558791115,-2432.1873468714502
8,92,49382.030000000006,45313.767147384715,-4068.2628526152835
9,92,57958.77086956522,47813.96954950631,-10144.80132005889
