county,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Karamürsel,205,0.1639327792060143,0.13811537868812163,6168.948415421937,4935.591871893434,38209.76770731707,37127.099568030935
İzmit,1328,0.13153043085338867,0.10731383389360619,5115.494300611156,3957.1787193585296,39960.05672439759,39546.505726178264
Gölcük,652,0.13135000790235354,0.10711621186296119,4072.9448527955606,3164.6896939997714,31564.8538803681,30963.964658997542
Başiskele,919,0.10936049990506339,0.09049533293781896,4498.2473512176175,3608.7271196507354,40919.74840043526,40536.33905432495
