district,building_age_group,m2_group,n,mape,mae
Ereğli Mh.,16-20 arası,101-125,1,0.514872505953519,15034.277173842755
4 Temmuz Mah.,4,76-100,1,0.45828662876933546,14826.919803376582
Kayacık Mh.,11-15 arası,151-200,1,0.41867223506542744,13397.511522093679
Dereköy Mh.,11-15 arası,76-100,1,0.40016666235656545,10671.112330063952
Kayacık Mh.,6-10 arası,151-200,1,0.3891373385167546,27631.054727733594
Kayacık Mh.,31 ve üzeri,126-150,1,0.3702788846661996,8639.839407948377
Tepeköy Mh.,31 ve üzeri,76-100,1,0.3666237782592135,9959.947198121226
Yalakdere Mh.,16-20 arası,101-125,1,0.34141981023692514,19088.470898319167
Kayacık Mh.,3,126-150,1,0.33771105987831573,24678.884105842888
Kayacık Mh.,16-20 arası,151-200,1,0.3197339535452284,18342.63173524315
Kayacık Mh.,16-20 arası,126-150,1,0.3144111972492095,10106.075095613727
4 Temmuz Mah.,31 ve üzeri,0-75,2,0.30581685762946464,11299.083730684113
Dereköy Mh.,11-15 arası,151-200,1,0.299255079560921,8108.846062193978
Kayacık Mh.,31 ve üzeri,76-100,4,0.28497161288230577,10049.60223995319
4 Temmuz Mah.,6-10 arası,126-150,3,0.26510301306503303,7984.416753016519
Kayacık Mh.,26-30 arası,76-100,4,0.2377386472965959,9085.30012507741
Ereğli Mh.,21-25 arası,0-75,2,0.23700458075166822,15694.965023462883
Kayacık Mh.,6-10 arası,76-100,1,0.23419731035892696,8665.300483280298
Avcıköy Mh.,21-25 arası,76-100,1,0.23367689498764455,11943.48548417195
4 Temmuz Mah.,31 ve üzeri,126-150,13,0.23234960819669673,5673.942996646714
Kayacık Mh.,26-30 arası,101-125,3,0.23121789337537094,9393.757245016246
Kayacık Mh.,6-10 arası,101-125,2,0.23059987325303383,15270.35209068536
4 Temmuz Mah.,6-10 arası,76-100,1,0.2283486488348996,13700.918930093976
4 Temmuz Mah.,21-25 arası,101-125,3,0.22399601552745674,5091.186853632788
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,1,0.22259539757972502,14468.700842682127
4 Temmuz Mah.,1,0-75,1,0.2180790361094219,14974.761206443756
Kayacık Mh.,5,0-75,1,0.2090456581290281,13936.377905420733
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.20593806870789116,10125.289064598212
4 Temmuz Mah.,26-30 arası,76-100,5,0.20034768590077584,5960.593116750175
Kayacık Mh.,21-25 arası,76-100,1,0.19720137129179618,9564.266507652115
Dereköy Mh.,11-15 arası,126-150,3,0.18991040221644404,6195.851601872885
Kayacık Mh.,31 ve üzeri,101-125,11,0.18969587125585974,5590.698094708737
4 Temmuz Mah.,26-30 arası,151-200,1,0.18797376032059007,5580.471009517518
Kayacık Mh.,16-20 arası,101-125,1,0.18415922857452183,8056.9662501353305
Ereğli Mh.,26-30 arası,76-100,1,0.17487669576941337,7686.887034308165
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.17320458378710935,11113.961370354795
Kayacık Mh.,0 (Oturuma Hazır),0-75,2,0.17273120144119755,7227.907467862791
4 Temmuz Mah.,1,76-100,3,0.17103133437691811,8263.430836562853
4 Temmuz Mah.,11-15 arası,101-125,5,0.17063999666884427,8553.297614746027
