county,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Karamürsel,205,3.9414634146341463,0.0,0,0,0.9947401066061724,38209.76770731707
Gölcük,652,3.6932515337423313,0.0,1,0,1.007047600988926,31564.8538803681
İzmit,1328,2.6001506024096384,0.0,2,0,0.9959829615488718,39960.05672439759
Başiskele,919,1.7606093579978237,0.0,0,0,1.0027966046787198,40919.74840043526
