m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
200+,109,4.944954128440367,7.0,0,0,0.9714016910652139,38694.33458715596
126-150,676,2.717455621301775,0.0,1,0,0.9736475120905967,35823.631745562125
0-75,249,2.7068273092369477,0.0,0,0,1.1504504881935262,49458.886746987955
101-125,863,2.6465816917728855,0.0,1,0,0.9836536374509924,36364.44794901506
151-200,370,2.5648648648648646,0.0,0,0,0.9903822004143057,38274.86956756757
76-100,837,2.3942652329749103,0.0,1,0,1.0127970615018684,39177.479772998806
