duplex_type,n,median,mean
garden,196,250.0,263.11540816326533
middle_floor,11,260.87,251.95545454545456
none,5802,240.38,257.37049638055845
roof,497,235.71,247.39879275653922
standard,364,230.385,243.99612637362637
