detail_konut_tipi_raw,title_raw,duplex_type,is_duplex,is_roof_duplex,is_garden_duplex,is_middle_floor_duplex,is_standard_duplex,duplex_match_source,duplex_source_conflict,extraction_notes,classified_id
Ara Kat,END'DEN İZMİT Y.AKARCA KONUTLARINDA SATILIK 3+1 DAİRE,none,0,0,0,0,0,none,0,,1295065556
Ara Kat,Sahibinden eşyalı manzaralı köşe arakat 3 cepheli 2+1 daire,none,0,0,0,0,0,none,0,,1311968314
,LEXUS PRİME DAN SATILIK 1+1 DAİRE,none,0,0,0,0,0,none,0,,1305667406
Ara Kat,İzmit Yıldız Konutları Sitesi'nde 3+1 Arakat Satılık Daire!,none,0,0,0,0,0,none,0,,1309124233
Ara Kat,FULL MANZARALI 3+1 MASRAFSIZ ARAKAT C BLOK,none,0,0,0,0,0,none,0,,1289948370
Ara Kat,İzmit Satılık 1+1 Daire - Myra-3 Sitesi Otogar Yakını,none,0,0,0,0,0,none,0,,1303405939
Ara Kat,İZMİT ALİKAHYA FATİH MAHALLESİ'NDE SATILIK 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1314957159
Ara Kat,Kocaeli Alikahya Fatih Mahallesinde Satılık Eşyalı 2+1 Daire,none,0,0,0,0,0,none,0,,1276208814
Ara Kat,JASMİN COUNTRY SİTESİNDE 3+1 ARA KAT İSKAN ALINMIŞTIR.,none,0,0,0,0,0,none,0,,1199172811
,YUVAM AKARCA 1.ETAP B1 LERDE 3+1 95M2 SATILIK YÜKSEK GİRİŞ DAİRE,none,0,0,0,0,0,none,0,,1317984217
Ara Kat,EVEDİN MAİ YUVAM YAHYA KAPTAN TAMAMI 3+1 YENİ PROJE,none,0,0,0,0,0,none,0,,1317975887
Ara Kat,"HGM'den YAHYAKAPTANA KOMŞU,SİTE İÇERİSİN'de SATILIK LÜKS DAİRE",none,0,0,0,0,0,none,0,,1317713313
Ara Kat,ALTIN EMLAK'tan Deniz Manzaralı Ara Kat Geniş 2+1 Daire,none,0,0,0,0,0,none,0,,1300527561
Ara Kat,"Jasmin Country'de 3+1,Ebeveyn Banyolu, Yerden Isıtmalı Daire",none,0,0,0,0,0,none,0,,1300506506
,AÇIKLAMAYI OKU!!!KENTKONUT AKARCA EVLERİ'NDE ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1314821294
Ara Kat,M.R'den Yıldız Konutları'nda 2+1 128m2 Ara Kat Full Manzaralı,none,0,0,0,0,0,none,0,,1312444430
Ara Kat,KOCAELİ İZMİT JASMİNE COUNTRY SİTESI SATILIK 3+1 ARA KAT DAİRE,none,0,0,0,0,0,none,0,,1317622024
Ara Kat,ŞANLI GAYRİMENKULDEN YILDIZ KONUTLARINDA ARA KAT GENİŞ 2+1 DAİRE,none,0,0,0,0,0,none,0,,1311235130
En Üst Kat,İZMİT YUVAM AKARCA'DA ORMAN MANZARALI 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1290676348
,HEMEN TAŞINMAYA HAZIR FERAH VE MODERN DAİRE SAHİBİNDEN.,none,0,0,0,0,0,none,0,,1317503768
Ara Kat,İZMİT YUVAM AKARCADA İÇİ KOMPLE YENİLENMİŞ 3+1 ARA KAT SATILIK,none,0,0,0,0,0,none,0,,1306038971
En Üst Kat,"Alikahya Atatürk mahallesi Geniş Balkonlu,modern ferah 3+1Daire",none,0,0,0,0,0,none,0,,1317420712
Ara Kat,ALİKAHYA VE DUMLUPINAR SINIRINDA SİTE İÇİ SATILIK 2+1,none,0,0,0,0,0,none,0,,1317583133
Ara Kat,AMG EMLAKTAN STADYUM YANI 2+1 ARA KAT SIFIR DAİRE,none,0,0,0,0,0,none,0,,1283188603
Ara Kat,YUVAM AKARCA'DA BÜYÜK TİP 3+1 SATILIK DENİZ MANZARALI DAİRE,none,0,0,0,0,0,none,0,,1308298556
,KAVANİUM 832. ADADA HAVUZ MANZARALI 70 m2 1+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1311213690
En Üst Kat,YUVAM AKARCA TEMİZ 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1305720102
,İZMİT ALİKAHYA KAVANİUM 4+1 LÜKS SATILIK DAİRE (815 / ADA),none,0,0,0,0,0,none,0,,1310060807
Dubleks|En Üst Kat|Çatı Dubleksi,SİTE İÇERİSİNDE 2+1 SATILIK DAİRE KOMBİ ANKASTRE HEDİYELİ,roof,1,1,0,0,0,detail,0,,1311300153
,20 BIN KİRA GETİRİLİ TAKAS UYGUN ACİL SATILIK GENİŞ DAİRE,none,0,0,0,0,0,none,0,,1317231158
,KOCAELİ ALİKAHYA MAHALLESİNDE SATILIK FIRSAT DAİRE,none,0,0,0,0,0,none,0,,1311251642
,Alikahya Fatih mah. 2+1 Arakat Satılık Daire,none,0,0,0,0,0,none,0,,1317316340
Ara Kat,4+1 PRESTİJ DAİRE | İZTOP PARK KAVANİUM SATALIK DAIRE,none,0,0,0,0,0,none,0,,1299845310
En Üst Kat,DİKKAT EMLAK'tan Kavanium İztoppark 830 Ada Satılık 4+1 Daire,none,0,0,0,0,0,none,0,,1288053943
Ara Kat,ALİKAHYA'DA OTURUMA HAZIR 2+1 ARA KAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1314159189
,TANYILDIZ'DAN TERRACE YAHYAKAPTAN SİTESİNDE 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1311192742
Ara Kat,"İzmit İztop Park Sitesinde Arakat, Güney Cepheli 3+1 Satılık..",none,0,0,0,0,0,none,0,,1304868805
En Üst Kat,İZMİT MERKEZİ KONUM YUVAM AKARCA KONUTLARINDA 3+1 SATILIK DAİRE,none,0,0,0,0,0,none,0,,1316855503
Ara Kat,İZMİT YAHYAKAPTAN GRİŞİ MARS AVM YANI SİTE İÇİ 3+1 ARAKAT DAİRE,none,0,0,0,0,0,none,0,,1314113418
Ara Kat,OTOGAR CİVARI 3+1 İÇİ YAPILI ARA KAT SATILIK DAİRE.,none,0,0,0,0,0,none,0,,1310827886
,YUVAM AKARCA A2 BLOKLARDA SATILIK DAİRE,none,0,0,0,0,0,none,0,,1305429064
Ara Kat,MUHTEŞEM KONUMLU EBEVEYN BANYOLU ARA KAT SATILIK DAİRE,none,0,0,0,0,0,none,0,,1299331652
,İZMİT YUVAMDA MERKEZİ KONUMDA İÇİ YAPILI SATILIK 2+1 DAİRE,none,0,0,0,0,0,none,0,,1307888621
,İzmit Alikahya'da Satılık 2+1 Daire (100m²),none,0,0,0,0,0,none,0,,1304327135
Ara Kat,CADDE41 den YUVAM AKARCADA İÇİ YAPILI SATILIK DAİRE,none,0,0,0,0,0,none,0,,1316750210
,YATIRIM FIRSATI.HÜMEYRA PARKTA 1+1 TERTEMİZ BOYALI SATILIK DAİRE,none,0,0,0,0,0,none,0,,1310814675
