experiment,site_extraction_mode,site_project_encoding,duplex_feature_mode,rows,r2,mape,variance_ratio,large_home_r2,expensive_decile_bias,merge_audit_severe_warnings,leakage_pass,stale_metadata_warnings,county_metrics_n,selected,notes,r2__Darıca,r2__İzmit,r2__Gebze,r2__Başiskele,r2__Çayırova,r2__Gölcük,r2__Kartepe,r2__Körfez,r2__Derince
control_v24_1_replay_on_core_good_ok,full,foldsafe_target,full,14363,0.7307693679783922,0.1082550641142819,0.6939968143558138,0.6156634027664492,-8210.54284451147,0,True,,9,False,,0.7177358624517334,0.6842797344339983,0.5775631476493595,0.5068484438290648,0.6988171181916958,0.6619995645598274,0.5358670612964299,0.7248049317632078,0.6925370049004791
full_v25_core_good_ok,full,foldsafe_target,full,14363,0.7307693679783922,0.10825506411428192,0.6939968143558138,0.6156634027664492,-8210.54284451147,0,True,,9,True,selected_vs_same_data_control; not auto-promoted over V24.1,0.7177358624517334,0.6842797344339983,0.5775631476493595,0.5068484438290648,0.6988171181916958,0.6619995645598276,0.53586706129643,0.7248049317632078,0.6925370049004791
