duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,647,36475.41,38971.1557187017,28680.718,51250.0
garden,1,170,35152.630000000005,37290.861470588236,26252.862,47685.28
middle_floor,0,51,38732.39,39978.3468627451,29000.0,48333.33
middle_floor,1,11,35222.22,36663.92272727273,28250.0,43055.56
none,0,9073,43564.29,43716.9264851758,26923.08,59894.74
none,1,296,37089.369999999995,40564.78202702703,23629.88,64597.95
roof,0,1513,36956.52,38569.32068737608,30338.092,48271.426
roof,1,879,35277.78,37371.98303754266,25961.54,53712.96
standard,0,1131,37810.22,39680.27587975244,30384.62,51212.12
standard,1,712,35000.0,37725.32575842697,26592.93,53189.215
