m2_group,n,mape,mae
200+,23,0.21717532680988622,8169.797748915954
126-150,65,0.17003651378410095,5744.1491064511665
101-125,89,0.1510286712910066,5554.925228463677
76-100,83,0.14976115075814259,5874.916410452642
0-75,23,0.1487079362083421,7808.318946930399
151-200,45,0.1483981468625305,6721.944959382499
