county,district,rows,matched_demo_rows,matched_county_demo_rows,avg_demo_coverage_score,match_rate,county_match_rate
Kartepe,Maşukiye Mh.,11,11,11,0.875,1.0,1.0
Kartepe,Rahmiye Mah.,6,6,6,0.875,1.0,1.0
Kartepe,Sarımeşe Mh.,31,31,31,0.875,1.0,1.0
Kartepe,Uzuntarla Mh.,5,5,5,0.875,1.0,1.0
Kartepe,Uzunçiftlik Mh.,67,67,67,0.875,1.0,1.0
Kartepe,Çepni Mh.,10,10,10,0.875,1.0,1.0
Kartepe,İbrikdere Mh.,16,16,16,0.875,1.0,1.0
Kartepe,İstasyon Mh.,50,50,50,0.875,1.0,1.0
Kartepe,Şevkatiye Mh.,1,1,1,0.875,1.0,1.0
İzmit,28 Haziran Mah.,78,78,78,0.875,1.0,1.0
İzmit,Akarca Mah.,19,19,19,0.875,1.0,1.0
İzmit,Akpınar Mh.,87,87,87,0.875,1.0,1.0
İzmit,Akçakoca Mh.,23,23,23,0.875,1.0,1.0
İzmit,Alikahya Atatürk Mh.,107,107,107,0.875,1.0,1.0
İzmit,Alikahya Cumhuriyet Mah.,50,50,50,0.875,1.0,1.0
İzmit,Alikahya Fatih Mah.,76,76,76,0.875,1.0,1.0
İzmit,Alikahya Merkez Mah.,2,2,2,0.875,1.0,1.0
İzmit,Arızlı Mh.,2,2,2,0.875,1.0,1.0
İzmit,Ayazma Mah.,16,16,16,0.875,1.0,1.0
İzmit,Bekirdere Mah.,10,10,10,0.875,1.0,1.0
İzmit,Cedit Mah.,54,54,54,0.875,1.0,1.0
İzmit,Cumhuriyet Mah.,60,60,60,0.875,1.0,1.0
İzmit,Doğan Mh.,14,14,14,0.875,1.0,1.0
İzmit,Durhasan Mh.,1,1,1,0.875,1.0,1.0
İzmit,Erenler Mah.,40,40,40,0.875,1.0,1.0
İzmit,Fatih Mah.,16,16,16,0.875,1.0,1.0
İzmit,Fevzi Çakmak Mh.,29,29,29,0.875,1.0,1.0
İzmit,Gültepe Mh.,11,11,11,0.875,1.0,1.0
İzmit,Gündoğdu Mh.,150,150,150,0.875,1.0,1.0
İzmit,Hacıhasan Mh.,26,26,26,0.875,1.0,1.0
İzmit,Hacıhızır Mh.,33,33,33,0.875,1.0,1.0
İzmit,Hatipköy Mh.,38,38,38,0.875,1.0,1.0
İzmit,Kabaoğlu Mh.,47,47,47,0.875,1.0,1.0
İzmit,Kadıköy Mh.,63,63,63,0.875,1.0,1.0
İzmit,Karabaş Mh.,54,54,54,0.875,1.0,1.0
İzmit,Karadenizliler Mah.,22,22,22,0.875,1.0,1.0
İzmit,Kemalpaşa Mh.,7,7,7,0.875,1.0,1.0
İzmit,Kocatepe Mah.,46,46,46,0.875,1.0,1.0
İzmit,Kozluk Mah.,87,87,87,0.875,1.0,1.0
