room_count,n,mape,mae
4.5+1,1,0.8443069264359513,15881.008018935554
4.5+2,1,0.3660350249083033,22877.189056768955
2.5+1,1,0.24045805136804654,8605.866215695161
6+2,1,0.2347046961697598,8124.392245700779
5+2,1,0.20366519749520637,6165.64613645928
4+2,6,0.19808593350940842,7241.659890713428
4+1,27,0.1716163071994759,7679.103305556216
5+1,8,0.16663406320817553,7093.63174779194
3+1,141,0.1657393153947935,5893.487280958596
1+1,13,0.1582424391760244,7998.035124506887
3+2,2,0.15362697356966906,7169.574226961995
2+1,118,0.14227745189004984,5857.770158952578
5.5+1,1,0.08049721297400161,2901.2539859286844
2+2,1,0.06442042981457603,2805.406001532785
6+1,3,0.05284319816290306,1805.9760759805565
3.5+1,3,0.04903277571447606,1511.5411957214892
