district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.8443069264359513,15881.008018935554
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5573258635982024,15140.687818837374
4 Temmuz Mah.,4,76-100,1,0.4561038130667423,14756.29929791953
Kayacık Mh.,31 ve üzeri,126-150,1,0.43909970331645276,10245.658280384887
Kayacık Mh.,26-30 arası,200+,2,0.43549899537472936,26357.955112310876
Dereköy Mh.,11-15 arası,200+,1,0.4047206196301705,16882.633296232623
4 Temmuz Mah.,21-25 arası,126-150,1,0.4018040072000686,8184.89629414806
Ereğli Mh.,16-20 arası,101-125,1,0.3949565390518499,11532.730940314017
Kayacık Mh.,3,126-150,1,0.32456868088766155,23718.479527733172
Kayacık Mh.,2,151-200,1,0.3173478573181468,22867.712127874023
4 Temmuz Mah.,1,0-75,1,0.30370149255071777,20854.170167487595
4 Temmuz Mah.,21-25 arası,101-125,4,0.3030841898570686,7334.539254001339
Dereköy Mh.,11-15 arası,76-100,1,0.2963912123877774,7903.766651644772
Kayacık Mh.,16-20 arası,126-150,2,0.295778929480879,9099.26561122306
4 Temmuz Mah.,4,200+,1,0.295442637292493,10438.97219952596
Tepeköy Mh.,6-10 arası,151-200,1,0.29419685202350165,18072.091918305312
Yalakdere Mh.,16-20 arası,101-125,1,0.29414071536415926,16445.139727959162
Kayacık Mh.,11-15 arası,200+,3,0.2897875042279985,10606.914857616
Avcıköy Mh.,21-25 arası,76-100,1,0.28152861516789385,14389.240017993892
Ereğli Mh.,21-25 arası,0-75,2,0.279641853448386,18345.67683531098
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.27837234145655776,17862.22617137026
Kayacık Mh.,31 ve üzeri,76-100,4,0.27261313808168186,9368.198944074007
Dereköy Mh.,16-20 arası,126-150,1,0.2623451187926246,6653.680853256559
Kayacık Mh.,16-20 arası,151-200,3,0.26074256943612484,11112.47055262748
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.2605497478470419,7734.016070865127
Kayacık Mh.,21-25 arası,76-100,2,0.24955677108507066,9903.619612955228
4 Temmuz Mah.,5,101-125,1,0.2478655393830373,13426.050876132984
4 Temmuz Mah.,26-30 arası,76-100,5,0.24564936232993526,7703.335755709881
4 Temmuz Mah.,6-10 arası,151-200,6,0.24303363129694874,11172.30213447081
Kayacık Mh.,6-10 arası,76-100,2,0.24286627019738893,11201.677767487203
Ereğli Mh.,31 ve üzeri,101-125,1,0.23772813790560016,10935.494343657607
Kayacık Mh.,6-10 arası,200+,1,0.2347046961697598,8124.392245700779
4 Temmuz Mah.,4,151-200,1,0.23299072164136075,8154.675257447627
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.2271945282123637,11430.909930290414
Kayacık Mh.,1,151-200,1,0.22160399060211405,9703.369504414957
Dereköy Mh.,11-15 arası,151-200,1,0.21810750896939587,5910.009005816657
Kayacık Mh.,5,0-75,1,0.21647542199081637,14431.695520972498
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.21321999315918835,7738.163264227987
Kayacık Mh.,11-15 arası,151-200,3,0.20457827256309488,7212.111222384828
