decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32855.92558266305,5068.766373623494
1,174,31543.124942528735,34757.03151385007,3213.9065713213313
2,176,33617.061534090906,36082.07968464159,2465.018150550681
3,174,35227.52902298851,36556.18121009907,1328.65218711057
4,176,36766.70914772727,37467.784201509625,701.0750537823521
5,175,38721.52542857143,38640.59582466832,-80.92960390310851
6,175,41049.114285714284,39928.37771190736,-1120.7365738069325
7,175,43378.922857142854,41309.13324669093,-2069.78961045193
8,175,46825.67697142858,43428.46412236428,-3397.212849064286
9,176,55005.39056818183,45823.455261338575,-9181.935306843237
