county,n,mape,mae,mean_bias,r2
Başiskele,1753,0.10298299704781315,4018.0916660239263,-307.03271503587104,0.5117323345940774
Gölcük,1182,0.11800083779755116,3801.0402956750063,-472.71123905344916,0.6700273654078172
Karamürsel,328,0.15858942778056434,6174.8789832220755,-948.3662275121865,0.5784530820679485
Kartepe,1007,0.10137964418425063,3999.047780756098,-303.17565789828507,0.5501146066225185
İzmit,2397,0.12937610806634972,4934.306280541365,-343.89217717362214,0.682681285386731
