building_age_group,n,mape,mae
21-25 arası,14,0.23352950551385862,8566.984381719583
16-20 arası,14,0.21030033081933858,7702.844880799109
4,5,0.20703416315809933,7126.594374190221
3,3,0.1979010479539104,11666.729434016313
31 ve üzeri,73,0.19224494841462123,5599.554360443826
6-10 arası,47,0.16753116264641768,6839.251056620883
2,3,0.16117266154477564,9995.759939238102
5,5,0.16043315885270512,8866.919255818362
26-30 arası,37,0.1581614712770436,5699.004420560602
11-15 arası,49,0.14085134012807227,5728.829009662168
1,9,0.13707388185708336,7212.814382024502
0 (Oturuma Hazır),52,0.10436613351710895,5558.016721586227
0 (Yapım Aşamasında),17,0.09217158841363024,4523.965210782316
