floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
,8,0.18597968983055088,0.1806288522344704,8521.02137099463,7320.690670278913,41901.53875,35513.97946175281
Bahçe,447,0.12485854826905085,0.09337303068059105,5019.100968185301,3511.53043561957,39909.42697986577,39111.263796451036
En Üst Kat,1830,0.12008446976550621,0.09098926065295826,4368.476442399442,3199.9759382960547,36630.753650273226,36210.686237053356
Çatı,283,0.11899822849138357,0.09752163208102083,4453.907617145529,3588.3105385229974,37448.737455830385,37212.18299230424
Ara Kat,3192,0.11592989128205883,0.09189032613636287,4418.204259078131,3476.513958579417,39167.010360275686,38742.51771134694
Bodrum,8,0.1152906431613441,0.083532366667705,3244.356834593587,1878.456219368576,29181.497499999998,31824.446281050856
Zemin/Giriş,899,0.11404463191952954,0.08804590320278413,4139.200219754824,3116.632096016816,37329.046952169076,37373.25167849056
