heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Doğalgaz Sobası,2,0.37109891469423006,0.37109891469423006,9945.115824173461,9945.115824173461,31222.53,35958.34676771214
Yok,7,0.2799986084663049,0.3082380003158871,11297.073392676102,10595.681260858619,38691.852857142854,33577.826298209904
Merkezi,2,0.1276717705671348,0.1276717705671348,4488.742165853997,4488.742165853997,36354.165,40842.907165854
Kombi (Doğalgaz),420,0.1122279529218535,0.09353925738629112,4408.6548135368685,3633.0090579384887,39311.17864285714,39103.69289269802
Yerden Isıtma,495,0.10261115369317775,0.08224161718349673,4354.940790128682,3314.1013729552687,41890.37288888889,41212.31067960147
Kat Kaloriferi,3,0.0963684111746959,0.07620929423905524,4259.839369307912,3231.2740757359425,42044.49,38007.07400660691
Kombi (Elektrik),2,0.09169316429733583,0.09169316429733583,3133.044014737092,3133.044014737092,33321.479999999996,36314.88879652764
Merkezi (Pay Ölçer),10,0.08006682519595666,0.09245989472736674,3243.7561922591194,3815.6891411876677,40760.307,41515.151045834355
,3,0.04049415832941523,0.041197728587615126,1734.3582331438326,2059.8864293807565,44908.426666666666,43362.726684360554
