decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32989.665578499844,5202.506369460295
1,174,31543.124942528735,34747.609136936495,3204.4841944077593
2,176,33617.061534090906,36132.31992936915,2515.2583952782456
3,174,35227.52902298851,36640.23290085117,1412.7038778626647
4,176,36766.70914772727,37580.98125403437,814.2721063071003
5,175,38721.52542857143,38608.51176051773,-113.01366805369325
6,175,41049.114285714284,39823.3959677548,-1225.71831795949
7,175,43378.922857142854,41184.45156530478,-2194.4712918380815
8,175,46825.67697142858,43358.19778998333,-3467.4791814452437
9,176,55005.39056818183,45557.72738344852,-9447.663184733297
