district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.9249867458121774,17398.556695089068
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5145038865725021,13977.357300232594
Ereğli Mh.,16-20 arası,101-125,1,0.4722809758028079,13790.604493441992
4 Temmuz Mah.,4,76-100,1,0.46303401328908506,14980.511649900971
Dereköy Mh.,11-15 arası,200+,1,0.43665918265382675,18214.9277763847
Kayacık Mh.,31 ve üzeri,126-150,1,0.4361745964423681,10177.405796406601
Kayacık Mh.,26-30 arası,200+,2,0.4324479365537592,26183.024973231368
4 Temmuz Mah.,21-25 arası,126-150,1,0.3629032859923618,7392.474209880227
Kayacık Mh.,3,126-150,1,0.33206562964528413,24266.333452338054
Kayacık Mh.,2,151-200,1,0.326786744960158,23547.867233469937
Kayacık Mh.,16-20 arası,126-150,2,0.3231903664664329,9951.424430966303
4 Temmuz Mah.,4,200+,1,0.3208908918317578,11338.143775085802
4 Temmuz Mah.,21-25 arası,101-125,4,0.3065714743569116,7431.41443765344
Kayacık Mh.,11-15 arası,200+,3,0.2989300390672875,10850.738270414178
Tepeköy Mh.,6-10 arası,151-200,1,0.2970598924803839,18247.964399423734
4 Temmuz Mah.,1,0-75,1,0.29580685852296124,20312.071937932866
Dereköy Mh.,16-20 arası,126-150,1,0.29357769098389835,7445.811343594745
Ereğli Mh.,21-25 arası,0-75,2,0.2798788979359354,18255.38466475961
Dereköy Mh.,11-15 arası,151-200,1,0.2717718243412757,7364.13861665595
Kayacık Mh.,31 ve üzeri,76-100,4,0.271678981081349,9308.47636168946
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.27118343493493013,17400.937978936134
Kayacık Mh.,6-10 arası,200+,1,0.26660144481015763,9228.510320652633
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.26179831120009883,7739.398003189436
Kayacık Mh.,16-20 arası,151-200,3,0.26041015199205747,10887.601243025181
4 Temmuz Mah.,5,101-125,1,0.25045101420565696,13566.097437643133
Dereköy Mh.,11-15 arası,76-100,1,0.24772343966829477,6605.959216899326
4 Temmuz Mah.,26-30 arası,76-100,5,0.24598560327443925,7671.70503324694
Yalakdere Mh.,16-20 arası,101-125,1,0.23832329566568966,13324.438586469652
Kayacık Mh.,21-25 arası,76-100,2,0.2369738494279522,9480.86504585219
4 Temmuz Mah.,6-10 arası,151-200,6,0.23472472653805343,10876.477242338173
Ereğli Mh.,31 ve üzeri,101-125,1,0.23320865213267541,10727.597998103069
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.22844964625460862,11474.31375090844
Kayacık Mh.,6-10 arası,76-100,2,0.22528444049264212,10526.50539170979
4 Temmuz Mah.,4,151-200,1,0.22462491681787214,7861.872088625525
Kayacık Mh.,5,0-75,1,0.21731460086590457,14487.640782108974
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.2160501985772764,7798.436871519542
Kayacık Mh.,11-15 arası,151-200,3,0.21479203579809772,7459.209507707735
Kayacık Mh.,1,151-200,1,0.20972042599081275,9183.024098451198
Kayacık Mh.,26-30 arası,76-100,4,0.20369637007718025,7038.558328990142
Kayacık Mh.,31 ve üzeri,101-125,11,0.18262998109203107,5406.587433528751
Kayacık Mh.,26-30 arası,101-125,3,0.18156714368381796,7730.878130326193
4 Temmuz Mah.,6-10 arası,76-100,3,0.1694791102461823,8183.134651910225
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.1644151708121741,8083.746446315796
