building_age_group,n,mape,mae
16-20 arası,14,0.22383274589039587,7951.051193902406
21-25 arası,14,0.217989304135317,7863.450121245091
4,5,0.21421897276027452,7407.600153980963
3,3,0.19569086525488574,11655.22866290425
31 ve üzeri,73,0.19277539062600002,5596.054319147998
6-10 arası,47,0.17531810533994113,7087.802315711537
2,3,0.16640476751823796,10343.32729045709
26-30 arası,37,0.16057596230593685,5729.235720060543
5,5,0.15706600773152712,8710.669958579521
11-15 arası,49,0.14559468639099932,5886.053270233513
1,9,0.1299800202472214,6846.502531625809
0 (Oturuma Hazır),52,0.10168338019636229,5462.161692835016
0 (Yapım Aşamasında),17,0.09045781571366905,4461.532262727824
