m2_group,n,mape,mae
200+,23,0.23096948056653305,8598.605368334505
126-150,65,0.17525916956478263,5919.513629713628
101-125,89,0.15224105956684064,5555.131596084694
151-200,45,0.1503333454819892,6761.096196915082
76-100,83,0.14682394710168475,5736.626512154447
0-75,23,0.14375554319744052,7573.5509264648235
