decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32865.439046999105,5078.279837959559
1,174,31543.124942528735,34788.93389877997,3245.8089562512414
2,176,33617.061534090906,36058.97863116993,2441.917097079018
3,174,35227.52902298851,36560.37681668004,1332.84779369153
4,176,36766.70914772727,37495.70143494095,728.992287213682
5,175,38721.52542857143,38637.92653812863,-83.59889044280189
6,175,41049.114285714284,39901.98838823328,-1147.1258974810085
7,175,43378.922857142854,41305.92997980137,-2072.9928773414917
8,175,46825.67697142858,43407.30523040858,-3418.3717410199984
9,176,55005.39056818183,45832.761170131824,-9172.629398049996
